,Unnamed: 0_x,English,Chinese_Google,Dict_Acc_Google,Terms_Google,Correct_Terms_Google,Unnamed: 0_y,Chinese_M2M,Dict_Acc_M2M,Terms_M2M,Correct_Terms_M2M,Human Eval Google,Human Eval M2M
896,891,"nevertheless , until people can demonstrate the value of testing for myocardial viability in patients with ischemic cardiomyopathy , we should hold off using these tests for similar patients to inform decisions .",尽管如此，在人们能够证明检测缺血性心肌病患者心肌活力的价值之前，我们应该推迟对类似患者使用这些检测来做出决定。,0.1666666666666666,"['value', 'viability', 'inform', 'cardiomyopathy', 'myocardial', 'testing', 'with', 'to', 'hold', 'ischemic', 'similar', 'we']","['value', 'cardiomyopathy']",891,"['然而,直到人们能够在患有催化性心脏病的患者中证明心脏病可行性测试的价值,我们应该停止使用这些类似患者的测试来告知决策。']",0.1666666666666666,"['value', 'viability', 'inform', 'cardiomyopathy', 'myocardial', 'testing', 'with', 'to', 'hold', 'ischemic', 'similar', 'we']","['value', 'inform']",,
897,892,more patients receiving the standard dose versus dose escalation had KRAS mutation ( 55 % vs. 39 % ) .,更多接受标准剂量与剂量递增的患者有 KRAS 突变（55% 对 39%）。,1.0,"['standard', 'mutation', 'dose']","['standard', 'mutation', 'dose']",892,"['接收标准剂量对剂量升级的患者多,患有KRAS突变(55%对39%)。']",1.0,"['standard', 'mutation', 'dose']","['standard', 'mutation', 'dose']",,
898,893,these results show that dose escalation of regorafenib does not appear to compromise the modest efficacy of this agent and support the use of this strategy in clinical practice .,这些结果表明，瑞戈非尼的剂量增加似乎不会损害该药物的适度疗效，并支持在临床实践中使用该策略。,0.4615384615384615,"['support', 'strategy', 'clinical', 'practice', 'efficacy', 'compromise', 'agent', 'dose', 'regorafenib', 'this', 'that', 'to', 'and']","['support', 'strategy', 'clinical', 'practice', 'dose', 'regorafenib']",893,"['这些结果表明,regorafenib的剂量升级似乎不会损害这种药物的微妙有效性,并支持在临床实践中使用这种策略。']",0.4615384615384615,"['support', 'strategy', 'clinical', 'practice', 'efficacy', 'compromise', 'agent', 'dose', 'regorafenib', 'this', 'that', 'to', 'and']","['support', 'strategy', 'clinical', 'practice', 'efficacy', 'dose']",,
899,894,a small multicenter study shows durable improvement in T2D indicators at 1 year after endoscopic duodenal mucosal resurfacing .,一项小型多中心研究表明，在内窥镜十二指肠粘膜表面重修术后 1 年，T2D 指标得到持久改善。,0.4,"['improvement', 'a', 'year', '1', 'mucosal', 'duodenal', 'study', 'after', 'at', 'in']","['improvement', 'year', '1', 'after']",894,"['一项小多中心研究显示,在内分泌双膜粘膜复发后1年,T2D指标的持续改善。']",0.4,"['improvement', 'a', 'year', '1', 'mucosal', 'duodenal', 'study', 'after', 'at', 'in']","['improvement', 'year', '1', 'after']",,
900,895,"exclusion of the duodenum through bariatric surgery has shown immediate benefit of improved glycemic control , independent of weight loss , in obese patients with type 2 diabetes mellitus ( T2D ) .",通过减肥手术切除十二指肠已显示，在患有 2 型糖尿病 (T2D) 的肥胖患者中，独立于体重减轻，可以直接改善血糖控制。,0.5,"['diabetes', 'type', 'control', 'weight', '2', 'surgery', 'exclusion', 'diabetes mellitus', 'loss', 'obese', 'duodenum', 'independent', 'immediate', 'benefit', 'with', 'weight loss']","['diabetes', 'type', 'control', 'weight', '2', 'surgery', 'diabetes mellitus', 'duodenum']",895,"['通过 bariatric 手术排除双胞胎表明,在肥胖患者患有2型糖尿病(T2D)的体重损失独立的改善血糖控制的即时好处。']",0.5625,"['diabetes', 'type', 'control', 'weight', '2', 'surgery', 'exclusion', 'diabetes mellitus', 'loss', 'obese', 'duodenum', 'independent', 'immediate', 'benefit', 'with', 'weight loss']","['diabetes', 'type', 'control', 'weight', '2', 'surgery', 'diabetes mellitus', 'loss', 'independent']",,
901,896,endoscopic duodenal mucosal resurfacing ( DMR ) - a new minimally invasive technique that involves circumferential hydrothermal ablation of the postampullary duodenal mucosa - might present a novel approach to improving glycemic control in T2D .,内窥镜十二指肠粘膜表面重修术 (DMR) - 一种新的微创技术，涉及壶腹后十二指肠粘膜的环状水热消融 - 可能会提供一种改善 T2D 血糖控制的新方法。,0.4,"['approach', 'mucosa', 'control', 'mucosal', 'duodenal', 'hydrothermal', 'ablation', 'novel', 'technique', 'present', '-', 'that', 'in', 'to', 'new']","['mucosa', 'control', 'mucosal', 'ablation', 'technique', 'new']",896,"['内分泌双胞胎粘膜复发(DMR) - 一个新的最小侵入性技术,涉及周围的水热消化后双胞胎粘膜 - 可能提出一个新的方法,以改善血糖控制在T2D。']",0.2666666666666666,"['approach', 'mucosa', 'control', 'mucosal', 'duodenal', 'hydrothermal', 'ablation', 'novel', 'technique', 'present', '-', 'that', 'in', 'to', 'new']","['mucosa', 'control', 'technique', 'new']",,
902,897,"at 24 weeks postprocedure , there were improvements in parameters of T2D , including glycated hemoglobin ( HbA1c ) level ( − 10 mmol / mol ) , fasting plasma glucose ( − 1.7 mmol / L ) , and homeostatic model assessment for insulin resistance ( − 2.9 ) , which were each sustained at 12 months .",术后 24 周，T2D 参数有所改善，包括糖化血红蛋白 ( HbA1c ) 水平 ( − 10 mmol / mol ) 、空腹血糖 ( − 1.7 mmol / L ) 和胰岛素抵抗的稳态模型评估 ( − 2.9 ) ，每一个持续 12 个月。,0.4,"['insulin', 'resistance', 'glucose', 'plasma', 'model', 'hemoglobin', '/', 'assessment', 'fasting', 'insulin resistance', 'level', 'at', 'mol', 'each', 'and']","['insulin', 'resistance', 'model', 'hemoglobin', 'assessment', 'level']",897,"['在24周后程序中,T2D的参数有所改善,包括血糖血糖(HbA1c)水平( − 10 mmol / mol ),禁食血糖( − 1.7 mmol / L ),以及对胰岛素抵抗性( − 2.9 )的同位素模型评估,每分为12个月。']",0.3333333333333333,"['insulin', 'resistance', 'glucose', 'plasma', 'model', 'hemoglobin', '/', 'assessment', 'fasting', 'insulin resistance', 'level', 'at', 'mol', 'each', 'and']","['insulin', 'resistance', 'model', 'assessment', 'level']",,
903,898,change in HbA1c did not correlate with weight loss .,HbA1c 的变化与体重减轻无关。,0.3333333333333333,"['weight', 'loss', 'change', 'with', 'weight loss', 'in']","['weight', 'change']",898,['HbA1c的变化与减肥无关。'],0.1666666666666666,"['weight', 'loss', 'change', 'with', 'weight loss', 'in']",['change'],,
904,899,it is fascinating that the duodenum has such an important role in T2D and potential role in insulin regulation .,令人着迷的是，十二指肠在 T2D 中具有如此重要的作用，并且在胰岛素调节中具有潜在作用。,0.5714285714285714,"['insulin', 'regulation', 'potential', 'role', 'duodenum', 'that', 'and']","['insulin', 'regulation', 'role', 'duodenum']",899,"['令人兴奋的是,双胞胎在T2D中扮演着如此重要的角色,以及在胰岛素调节中的潜在角色。']",0.4285714285714285,"['insulin', 'regulation', 'potential', 'role', 'duodenum', 'that', 'and']","['insulin', 'regulation', 'role']",,
905,900,further research is needed to define which patients with T2D would most benefit from this approach and to standardize endoscopic DMR technique .,需要进一步的研究来确定哪些 T2D 患者最能从这种方法中受益，并使内窥镜 DMR 技术标准化。,0.25,"['approach', 'research', 'technique', 'benefit', 'with', 'this', 'to', 'and']","['research', 'technique']",900,"['需要进一步的研究来确定哪些患有T2D的患者会从这种方法中受益,并标准化内分泌DMR技术。']",0.25,"['approach', 'research', 'technique', 'benefit', 'with', 'this', 'to', 'and']","['research', 'technique']",,
906,901,"moreover , carefully controlled studies are needed before DMR is used clinically in T2D .",此外，在将 DMR 临床用于 T2D 之前，需要进行仔细的对照研究。,0.3333333333333333,"['controlled', 'before', 'in']",['before'],901,"['此外,在 DMR 在 T2D 中临床使用之前需要仔细控制的研究。']",0.6666666666666666,"['controlled', 'before', 'in']","['controlled', 'before']",,
907,902,"however , these results support the concept of an effective endoscopic intervention to favorably alter metabolism .",然而，这些结果支持有效的内窥镜干预以有利地改变新陈代谢的概念。,0.6,"['metabolism', 'support', 'intervention', 'concept', 'to']","['metabolism', 'support', 'concept']",902,"['然而,这些结果支持有效的内分泌干预的概念,有利于改变代谢。']",0.8,"['metabolism', 'support', 'intervention', 'concept', 'to']","['metabolism', 'support', 'concept', 'to']",,
908,903,"compared with placebo , ursodeoxycholic acid modestly improved pruritis but did not reduce adverse perinatal outcomes .",与安慰剂相比，熊去氧胆酸适度改善了瘙痒症，但并未减少不良的围产期结局。,0.4285714285714285,"['placebo', 'perinatal', 'reduce', 'ursodeoxycholic acid', 'adverse', 'with', 'but']","['placebo', 'ursodeoxycholic acid', 'but']",903,"['与 placebo 相比, ursodeoxycholic 酸温和地改善了 pruritis 但并没有减少不良的阴道结果。']",0.1428571428571428,"['placebo', 'perinatal', 'reduce', 'ursodeoxycholic acid', 'adverse', 'with', 'but']",['but'],,
909,904,"ursodeoxycholic acid and placebo resulted in similar rates of preterm birth ( 17 % and 20 % ; risk ratio , 0.79 ) and admission to the neonatal intensive care unit ( 14 % and 17 % ; RR , 0.81 ) .",熊去氧胆酸和安慰剂导致相似的早产率（17% 和 20%；风险比，0.79）和进入新生儿重症监护病房的比率（14% 和 17%；RR，0.81）。,0.5833333333333334,"['placebo', 'neonatal', 'ratio', 'unit', 'admission', 'birth', 'ursodeoxycholic acid', 'intensive care unit', 'risk', 'to', 'and', 'similar']","['placebo', 'ratio', 'admission', 'ursodeoxycholic acid', 'intensive care unit', 'risk', 'similar']",904,"['ursodeoxycholic acid and placebo resulted in similar rates of premature birth ( 17 % and 20 % ; risk ratio, 0.79 ) and admission to the neonatal intensive care unit ( 14 % and 17 % ; RR, 0.81 ) 。']",0.0,"['placebo', 'neonatal', 'ratio', 'unit', 'admission', 'birth', 'ursodeoxycholic acid', 'intensive care unit', 'risk', 'to', 'and', 'similar']",[],,
910,905,there are limited data from randomized trials evaluating the use of antithrombotic therapy in patients with atrial fibrillation and stable coronary artery disease .,评估房颤和稳定性冠状动脉疾病患者使用抗血栓治疗的随机试验数据有限。,0.4615384615384615,"['atrial', 'disease', 'data', 'antithrombotic', 'fibrillation', 'coronary', 'therapy', 'atrial fibrillation', 'with', 'coronary artery', 'limited', 'in', 'and']","['disease', 'data', 'fibrillation', 'coronary', 'therapy', 'coronary artery']",905,['有有限的数据从随机测试评估使用抗血管治疗的患者和稳定的冠状动脉疾病。'],0.4615384615384615,"['atrial', 'disease', 'data', 'antithrombotic', 'fibrillation', 'coronary', 'therapy', 'atrial fibrillation', 'with', 'coronary artery', 'limited', 'in', 'and']","['disease', 'data', 'coronary', 'therapy', 'coronary artery', 'limited']",,
911,906,"the primary efficacy end point was a composite of stroke , systemic embolism , myocardial infarction , unstable angina requiring revascularization , or death from any cause ; this end point was analyzed for noninferiority with a noninferiority margin of 1.46 .",主要疗效终点是卒中、全身性栓塞、心肌梗死、需要血运重建的不稳定型心绞痛或全因死亡的复合终点。对这一终点进行了非劣效性分析，非劣效性界值为 1.46。,0.5294117647058824,"['myocardial infarction', 'composite', 'stroke', 'margin', 'death', 'angina', 'revascularization', 'primary', 'cause', 'unstable', 'systemic', 'efficacy', 'end', 'point', 'embolism', 'with', 'this']","['myocardial infarction', 'stroke', 'death', 'angina', 'revascularization', 'unstable', 'point', 'embolism', 'this']",906,"['初级有效性终点是中风、系统性胚胎、心脏病发作、不稳定的腹泻,需要复发或因任何原因而死亡的组成部分;这一终点被分析为不低于不低于不低于不低于不低于不低于不低于不低于不低于不低于不低。']",0.4117647058823529,"['myocardial infarction', 'composite', 'stroke', 'margin', 'death', 'angina', 'revascularization', 'primary', 'cause', 'unstable', 'systemic', 'efficacy', 'end', 'point', 'embolism', 'with', 'this']","['stroke', 'death', 'cause', 'unstable', 'efficacy', 'point', 'this']",,
912,907,"the primary safety end point was major bleeding , according to the criteria of the International Society on Thrombosis and Hemostasis ; this end point was analyzed for superiority .",根据国际血栓形成和止血学会的标准，主要安全终点是大出血；对该终点进行优效性分析。,0.5,"['bleeding', 'safety', 'thrombosis', 'hemostasis', 'major', 'society', 'primary', 'superiority', 'end', 'point', 'on', 'this', 'to', 'and']","['bleeding', 'safety', 'thrombosis', 'hemostasis', 'society', 'point', 'this']",907,"['主要安全终点是主要出血,根据国际血管和血管疾病协会的标准;这一终点被分析为优越性。']",0.4285714285714285,"['bleeding', 'safety', 'thrombosis', 'hemostasis', 'major', 'society', 'primary', 'superiority', 'end', 'point', 'on', 'this', 'to', 'and']","['bleeding', 'safety', 'society', 'superiority', 'point', 'this']",,
913,908,"as antithrombotic therapy , rivaroxaban monotherapy was noninferior to combination therapy for efficacy and superior for safety in patients with atrial fibrillation and stable coronary artery disease . ( Funded by the Japan Cardiovascular Research Foundation ; AFIRE UMIN Clinical Trials Registry number , UMIN000016612 ; and ClinicalTrials.gov number , NCT02642419 . )",作为抗血栓治疗，利伐沙班单药治疗在心房颤动和稳定性冠状动脉疾病患者中的疗效不劣于联合疗法，安全性优于联合疗法。 （由日本心血管研究基金会资助；AFIRE UMIN 临床试验注册号 UMIN000016612；ClinicalTrials.gov 号 NCT02642419。）,0.5652173913043478,"['atrial', 'safety', 'combination therapy', 'disease', 'cardiovascular', 'research', 'antithrombotic', 'fibrillation', 'coronary', 'superior', 'atrial fibrillation', 'registry', 'number', 'clinical', 'japan', 'efficacy', 'with', 'coronary artery', 'rivaroxaban', 'foundation', 'by', 'to', 'and']","['safety', 'disease', 'cardiovascular', 'research', 'fibrillation', 'coronary', 'atrial fibrillation', 'number', 'clinical', 'coronary artery', 'rivaroxaban', 'by', 'to']",908,"['作为抗血管疗法,Rivaroxaban单疗法不低于结合疗法的有效性和安全性高于患有甲状腺纤维和稳定的冠状动脉疾病的患者(由日本心血管研究基金会资助;AFIRE UMIN临床试验登记号,UMIN000016612;和ClinicalTrials.gov号,NCT02642419。']",0.4782608695652174,"['atrial', 'safety', 'combination therapy', 'disease', 'cardiovascular', 'research', 'antithrombotic', 'fibrillation', 'coronary', 'superior', 'atrial fibrillation', 'registry', 'number', 'clinical', 'japan', 'efficacy', 'with', 'coronary artery', 'rivaroxaban', 'foundation', 'by', 'to', 'and']","['safety', 'disease', 'cardiovascular', 'research', 'coronary', 'number', 'clinical', 'efficacy', 'coronary artery', 'by', 'to']",,
914,909,"the use of dual antiplatelet therapy ( a P2Y12 inhibitor plus aspirin ) after percutaneous coronary intervention ( PCI ) reduces the risk of ischemic or atherothrombotic events , including stent thrombosis , recurrent myocardial infarction , and cardiovascular death.1",经皮冠状动脉介入治疗 (PCI) 后使用双重抗血小板治疗（P2Y12 抑制剂加阿司匹林）可降低缺血或动脉粥样硬化血栓形成事件的风险，包括支架内血栓形成、复发性心肌梗死和心血管死亡。 1,0.5555555555555556,"['inhibitor', 'myocardial infarction', 'aspirin', 'cardiovascular', 'plus', 'antiplatelet', 'coronary', 'thrombosis', 'therapy', 'recurrent', 'stent', 'intervention', 'risk', 'after', 'dual', 'percutaneous', 'and', 'ischemic']","['inhibitor', 'myocardial infarction', 'aspirin', 'cardiovascular', 'plus', 'coronary', 'thrombosis', 'therapy', 'risk', 'after']",909,"['二重抗板膜治疗(P2Y12抑制剂加上阿司匹林)的使用后,皮层干预(PCI)减少了伊斯基米或甲状腺炎事件的风险,包括<unk>血病,重复的心脏病发作和心血管死亡。']",0.3888888888888889,"['inhibitor', 'myocardial infarction', 'aspirin', 'cardiovascular', 'plus', 'antiplatelet', 'coronary', 'thrombosis', 'therapy', 'recurrent', 'stent', 'intervention', 'risk', 'after', 'dual', 'percutaneous', 'and', 'ischemic']","['inhibitor', 'aspirin', 'cardiovascular', 'plus', 'therapy', 'risk', 'after']",,
915,910,"the use of antiplatelet agents in combination with anticoagulation results in an increased risk of bleeding events , as shown recently in a nationwide Danish cohort study.3",最近一项全国性的丹麦队列研究显示，抗血小板药物与抗凝药物联合使用会增加出血事件的风险。 3,0.5,"['bleeding', 'combination', 'anticoagulation', 'antiplatelet', 'risk', 'cohort', 'as', 'with']","['bleeding', 'combination', 'anticoagulation', 'risk']",910,"['与抗凝固剂相结合的抗阴膜药物的使用导致出血事件的风险增加,如最近在全国范围内的丹麦凝固研究中所示。']",0.625,"['bleeding', 'combination', 'anticoagulation', 'antiplatelet', 'risk', 'cohort', 'as', 'with']","['bleeding', 'combination', 'anticoagulation', 'risk', 'as']",,
916,911,"as a consequence , the selection of the most effective antithrombotic treatment for patients with atrial fibrillation and stable coronary artery disease is a clinical challenge requiring careful assessment of the risks of ischemia and bleeding in each patient.2",因此，为心房颤动和稳定性冠状动脉疾病患者选择最有效的抗血栓治疗是一项临床挑战，需要仔细评估每位患者的缺血和出血风险。 2,0.6111111111111112,"['bleeding', 'atrial', 'disease', 'ischemia', 'antithrombotic', 'fibrillation', 'coronary', 'atrial fibrillation', 'assessment', 'treatment', 'clinical', 'challenge', 'consequence', 'with', 'careful', 'coronary artery', 'each', 'and']","['bleeding', 'disease', 'ischemia', 'fibrillation', 'coronary', 'atrial fibrillation', 'assessment', 'treatment', 'clinical', 'challenge', 'coronary artery']",911,"['因此,在患有甲状腺纤维和稳定的冠状动脉疾病的患者中选择最有效的抗血管治疗是一种临床挑战,需要仔细评估每个患者的腹泻和出血风险。']",0.4444444444444444,"['bleeding', 'atrial', 'disease', 'ischemia', 'antithrombotic', 'fibrillation', 'coronary', 'atrial fibrillation', 'assessment', 'treatment', 'clinical', 'challenge', 'consequence', 'with', 'careful', 'coronary artery', 'each', 'and']","['bleeding', 'disease', 'coronary', 'assessment', 'treatment', 'clinical', 'challenge', 'coronary artery']",,
917,912,"such treatment is followed by combination therapy with an oral anticoagulant plus a P2Y12 inhibitor for 4 to 6 weeks8 or up to 12 months in selected patients.9,10","这种治疗之后是口服抗凝剂和 P2Y12 抑制剂联合治疗 4 至 6 周8，或在选定患者中长达 12 个月。 9,10",0.4,"['inhibitor', 'combination therapy', 'anticoagulant', 'plus', 'oral', 'treatment', '4', 'up', 'with', 'by']","['inhibitor', 'combination therapy', 'anticoagulant', 'treatment']",912,['这种治疗由口服抗凝固剂和P2Y12抑制剂进行4至6周8或最多12个月的组合治疗。'],0.3,"['inhibitor', 'combination therapy', 'anticoagulant', 'plus', 'oral', 'treatment', '4', 'up', 'with', 'by']","['inhibitor', 'treatment', 'by']",,
918,913,"after 12 months of combination therapy , or in patients with atrial fibrillation and stable coronary artery disease not requiring intervention , current guidelines recommend monotherapy with an oral anticoagulant.9,10","经过 12 个月的联合治疗后，或对于不需要干预的心房颤动和稳定型冠状动脉疾病患者，目前的指南建议使用口服抗凝剂进行单药治疗。 9,10",0.5714285714285714,"['atrial', 'combination therapy', 'disease', 'oral', 'fibrillation', 'coronary', 'recommend', 'atrial fibrillation', 'intervention', 'after', 'current', 'with', 'coronary artery', 'and']","['combination therapy', 'disease', 'fibrillation', 'coronary', 'recommend', 'atrial fibrillation', 'after', 'coronary artery']",913,"['经过12个月的组合治疗,或在不需要干预的静脉动脉和静脉动脉疾病的患者中,现行指导方针建议用口服抗凝固剂单治疗。']",0.1428571428571428,"['atrial', 'combination therapy', 'disease', 'oral', 'fibrillation', 'coronary', 'recommend', 'atrial fibrillation', 'intervention', 'after', 'current', 'with', 'coronary artery', 'and']","['disease', 'recommend']",,
919,914,"however , this approach has yet to be supported by evidence from randomized , controlled trials .",然而，这种方法尚未得到随机对照试验证据的支持。,0.1428571428571428,"['approach', 'controlled', 'be', 'evidence', 'this', 'by', 'to']",['evidence'],914,"['然而,这种方法尚未得到随机、控制的试验的证据的支持。']",0.2857142857142857,"['approach', 'controlled', 'be', 'evidence', 'this', 'by', 'to']","['controlled', 'evidence']",,
920,915,"furthermore , substantial numbers of patients in this situation continue to be treated with combination therapy , which indicates a gap between guidelines and clinical practice.11",此外，大量处于这种情况的患者继续接受联合治疗，这表明指南与临床实践之间存在差距。 11,0.4545454545454545,"['combination therapy', 'situation', 'gap', 'be', 'clinical', 'with', 'continue', 'this', 'to', 'and', 'substantial']","['combination therapy', 'be', 'clinical', 'continue', 'to']",915,"['此外,在这种情况下,大量的患者仍在用结合疗法进行治疗,这表明指导方针与临床实践之间的差距。']",0.1818181818181818,"['combination therapy', 'situation', 'gap', 'be', 'clinical', 'with', 'continue', 'this', 'to', 'and', 'substantial']","['be', 'clinical']",,
921,916,"one previous randomized , controlled trial has evaluated the efficacy and safety of monotherapy with an oral anticoagulant as compared with combination therapy with an oral anticoagulant plus a single antiplatelet agent in patients with atrial fibrillation and stable coronary artery disease more than 1 year after stenting , but this trial was underpowered and inconclusive because of the premature termination of enrollment.12",先前的一项随机对照试验评估了在支架置入术后 1 年以上的心房颤动和稳定型冠状动脉疾病患者中，口服抗凝剂单一疗法与口服抗凝剂加单一抗血小板药物联合疗法的疗效和安全性，但是由于提前终止入组，该试验的功效不足且不确定。 12,0.6666666666666666,"['atrial', 'safety', 'combination therapy', 'anticoagulant', 'disease', 'year', '1', 'plus', 'oral', 'antiplatelet', 'previous', 'fibrillation', 'coronary', 'controlled', 'atrial fibrillation', 'termination', 'after', 'efficacy', 'premature', 'with', 'coronary artery', 'agent', 'controlled trial', 'this', 'single', 'but', 'and']","['safety', 'anticoagulant', 'disease', 'year', '1', 'plus', 'fibrillation', 'coronary', 'atrial fibrillation', 'termination', 'after', 'efficacy', 'premature', 'coronary artery', 'controlled trial', 'this', 'single', 'but']",916,"['此前一项随机控制的研究评估了口服抗凝固剂单疗法的有效性和安全性,与口服抗凝固剂的结合疗法相比,并在关节炎和稳定的冠状动脉疾病1年以上的患者中进行单一抗凝固剂的单一抗凝固剂,但这项研究由于提前终止登记而被支持和无关紧要。']",0.4814814814814814,"['atrial', 'safety', 'combination therapy', 'anticoagulant', 'disease', 'year', '1', 'plus', 'oral', 'antiplatelet', 'previous', 'fibrillation', 'coronary', 'controlled', 'atrial fibrillation', 'termination', 'after', 'efficacy', 'premature', 'with', 'coronary artery', 'agent', 'controlled trial', 'this', 'single', 'but', 'and']","['safety', 'disease', 'year', '1', 'coronary', 'controlled', 'termination', 'efficacy', 'premature', 'coronary artery', 'single', 'but', 'and']",,
922,917,details regarding the trial design have been described previously.13,有关试验设计的详细信息已在前面描述过。 13,0.75,"['regarding', 'trial', 'design', 'have']","['regarding', 'design', 'have']",917,['关于试验设计的细节已被描述。13'],0.5,"['regarding', 'trial', 'design', 'have']","['regarding', 'design']",,
923,918,funding was provided by the Japan Cardiovascular Research Foundation under a contract with Bayer Yakuhin .,日本心血管研究基金会根据与 Bayer Yakuhin 的合同提供资金。,0.375,"['a', 'cardiovascular', 'research', 'contract', 'japan', 'with', 'foundation', 'by']","['cardiovascular', 'research', 'foundation']",918,['该资金由日本心血管研究基金会根据与Bayer Yakuhin的合同提供。'],0.5,"['a', 'cardiovascular', 'research', 'contract', 'japan', 'with', 'foundation', 'by']","['cardiovascular', 'research', 'foundation', 'by']",,
924,919,"the company had no role in the design of the trial , in the collection or analysis of the data , in the interpretation of the trial results , or in the writing of the manuscript .",该公司未参与试验设计、数据收集或分析、试验结果解释或文稿撰写。,0.6,"['data', 'analysis', 'collection', 'interpretation', 'role', 'no', 'manuscript', 'writing', 'trial', 'design']","['data', 'analysis', 'collection', 'interpretation', 'writing', 'design']",919,['公司在审查的设计、数据收集或分析、审查结果的解释或手稿的写作中没有任何作用。'],0.8,"['data', 'analysis', 'collection', 'interpretation', 'role', 'no', 'manuscript', 'writing', 'trial', 'design']","['data', 'analysis', 'collection', 'interpretation', 'role', 'manuscript', 'writing', 'design']",,
925,920,"under the guidance of the authors , Mebix , a contract research organization , provided assistance in the selection of the participating centers , supervision or monitoring of the centers , collection and storage of trial data , data analysis , interpretation of the trial results , and preparation of the manuscript .",在作者的指导下，合同研究机构Mebix在参与中心的选择、中心的监督或监测、试验数据的收集和存储、数据分析、试验结果的解释以及准备手稿。,0.5625,"['monitoring', 'organization', 'research', 'data', 'analysis', 'preparation', 'collection', 'interpretation', 'supervision', 'contract', 'manuscript', 'storage', 'trial', 'assistance', 'and', 'guidance']","['monitoring', 'research', 'data', 'analysis', 'preparation', 'collection', 'interpretation', 'manuscript', 'storage']",920,"['在作者的指导下,Mebix是一家合同研究组织,在参与中心的选择、监督或监测中心、审查数据的收集和存储、数据分析、审查结果的解释和手稿的编制方面提供了协助。']",0.5625,"['monitoring', 'organization', 'research', 'data', 'analysis', 'preparation', 'collection', 'interpretation', 'supervision', 'contract', 'manuscript', 'storage', 'trial', 'assistance', 'and', 'guidance']","['monitoring', 'organization', 'research', 'data', 'analysis', 'collection', 'interpretation', 'manuscript', 'storage']",,
926,921,the trial was designed and led by an executive steering committee .,该试验由执行指导委员会设计和领导。,0.3333333333333333,"['steering', 'committee', 'trial', 'by', 'and', 'led']","['committee', 'by']",921,['审判是由执行管理委员会设计和领导的。'],0.5,"['steering', 'committee', 'trial', 'by', 'and', 'led']","['committee', 'trial', 'by']",,
927,922,"the trial was conducted in accordance with the principles of the Declaration of Helsinki and was approved by the institutional review board of the National Cerebral and Cardiovascular Center , Japan , along with the institutional review boards of all participating institutions .",该试验是根据赫尔辛基宣言的原则进行的，并获得了日本国家脑心血管中心的机构审查委员会以及所有参与机构的机构审查委员会的批准。,0.3076923076923077,"['center', 'cardiovascular', 'review', 'cerebral', 'board', 'along', 'japan', 'trial', 'with', 'all', 'in', 'by', 'and']","['center', 'cardiovascular', 'review', 'by']",922,"['审查按照赫尔辛基宣言的原则进行,由日本国家大脑和心血管中心的机构审查委员会和所有参与机构的机构审查委员会批准。']",0.3846153846153846,"['center', 'cardiovascular', 'review', 'cerebral', 'board', 'along', 'japan', 'trial', 'with', 'all', 'in', 'by', 'and']","['center', 'cardiovascular', 'review', 'cerebral', 'by']",,
928,923,data were reviewed by an independent data and safety monitoring committee .,数据由一个独立的数据和安全监测委员会审查。,0.8571428571428571,"['safety', 'monitoring', 'data', 'committee', 'independent', 'by', 'and']","['safety', 'monitoring', 'data', 'committee', 'independent', 'by']",923,['数据由独立的数据和安全监测委员会审查。'],0.8571428571428571,"['safety', 'monitoring', 'data', 'committee', 'independent', 'by', 'and']","['safety', 'monitoring', 'data', 'committee', 'independent', 'by']",,
929,924,"the authors vouch for the completeness and accuracy of the data and all analyses , and for the fidelity of the trial to the protocol , available with the full text of this article at NEJM.org .",作者保证数据和所有分析的完整性和准确性，以及试验对方案的忠实度，方案与本文全文可在 NEJM.org 获取。,0.2857142857142857,"['fidelity', 'data', 'accuracy', 'protocol', 'article', 'available', 'trial', 'text', 'completeness', 'with', 'full', 'all', 'this', 'and']","['data', 'accuracy', 'completeness', 'full']",924,"['作者保证数据和所有分析的完整性和准确性,以及审判对议定书的忠诚性,可在NEJM.org上提供本文的完整文本。']",0.4285714285714285,"['fidelity', 'data', 'accuracy', 'protocol', 'article', 'available', 'trial', 'text', 'completeness', 'with', 'full', 'all', 'this', 'and']","['data', 'accuracy', 'protocol', 'trial', 'completeness', 'full']",,
930,925,trial POPULATION AND ELIGIBILITY CRITERIA,试验人群和资格标准,0.0,['trial'],[],925,['审判人口和可行性标准'],1.0,['trial'],['trial'],,
931,926,men and women who were 20 years of age or older and had received a diagnosis of atrial fibrillation and stable coronary artery disease were enrolled in Japan .,在日本，年龄在 20 岁或以上并被诊断为心房颤动和稳定型冠状动脉疾病的男性和女性被纳入研究。,0.5833333333333334,"['atrial', 'disease', 'who', 'fibrillation', 'coronary', 'diagnosis', 'atrial fibrillation', 'age', 'japan', 'coronary artery', 'in', 'and']","['disease', 'fibrillation', 'coronary', 'diagnosis', 'atrial fibrillation', 'age', 'coronary artery']",926,"['20岁及以上的男性和女性,并接受了甲状腺纤维化和稳定的冠状动脉疾病的诊断,被注册在日本。']",0.3333333333333333,"['atrial', 'disease', 'who', 'fibrillation', 'coronary', 'diagnosis', 'atrial fibrillation', 'age', 'japan', 'coronary artery', 'in', 'and']","['disease', 'coronary', 'diagnosis', 'coronary artery']",,
