English,Chinese
"the trial was also limited by the long recruitment period ( owing to problems inherent in clinical trials of youth with type 2 diabetes2 ) , which necessitated some protocol amendments .","['审查也受到长期招聘期限的限制(由于患有2型糖尿病的青少年临床试验中存在的问题),这需要一些议定书修正案。']"
"in addition , because of the somewhat limited diversity of the trial population , the results may not be generalizable to all other populations .","['除此之外,由于试验人口的多样性略有有限,结果可能对所有其他人口都无法普遍化。']"
"in summary , the current study showed the superiority of liraglutide to placebo , when added to metformin , with or without basal insulin , with respect to glycemic control in children and adolescents .","['总而言之,目前的研究表明,当添加到甲状腺素时,利拉格卢蒂德对 placebo的优越性,与基因胰岛素或没有,与儿童和青少年的血糖控制有关。']"
gastrointestinal adverse events were more common in the liraglutide group .,['胃肠不良事件在Liraglutide群体中更常见。']
"male sex , older age , mutations in MLH1 or MSH2 , and family history are associated with increased risk .",['男性性别、老年、MLH1或MSH2的突变和家庭史与风险增加有关。']
the cumulative risk for gastric cancer in patients with Lynch syndrome ( LS ) is estimated to be 7 % to 8 % .,"['在患有林奇综合征(LS)的患者中,胃癌的累积风险估计为7%至8%。']"
"however , there are sparse data regarding risk factors and the impact of screening on patient outcomes , resulting in disparate guideline recommendations .","['然而,关于风险因素和筛查对患者结果的影响的数据差不多,导致不同的指导方针建议。']"
clinical and family histories were obtained by referring providers .,['临床和家庭史由参考供应商获取。']
"in multivariate analysis , the following factors were associated with gastric cancer :","['在多元化分析中,以下因素与胃癌有关:']"
"male sex ( odds ratio , 2.8 )","['男性性别(比率,2.8 )']"
"older age ( OR , 2.1 per 10 years )","['老年人(或,每 10 年 2.1 )']"
"mutations in MLH1 ( OR , 6.5 ) or MSH2 ( OR , 5.2 ) compared with mutations in MSH6 , PMS2 , or EPCAM",['MLH1(OR、6.5)或MSH2(OR、5.2)的突变与MSH6、PMS2或EPCAM的突变相比']
"although the concept of tailoring LS screening recommendations is not new , most of the available evidence has pertained to colorectal cancer , with less focus on rarer but potentially highly lethal malignancies .","['虽然调整 LS 筛查建议的概念并不新鲜,但大多数可用的证据都涉及到染色性癌症,重点较少的是更罕见但潜在的致命恶性疾病。']"
other studies have also identified Asian ancestry as a risk factor for gastric cancer in LS .,['其他研究还确定了亚洲祖先作为胃癌的风险因素。']
"the presence of one or more of these factors should mandate endoscopic screening and regular surveillance , although the frequency of the latter requires additional prospective study .","['其中一个或多个因素的存在应要求进行内分泌筛查和定期监测,尽管其频率需要进一步的预期研究。']"
new evidence indicates that smoking cessation might blunt risk for developing RA .,"['新的证据表明,戒烟可能会导致 RA 发育的风险。']"
"previous epidemiologic studies have demonstrated that cigarette smoking is an important risk factor for rheumatoid arthritis ( RA ) , especially seropositive RA .","['以前的流行病学研究表明,吸烟是 rheumatoid arthritis (RA ) 的重要风险因素,尤其是血清积极的RA。']"
"however , whether smoking cessation lowers risk for developing RA is unclear .","['然而,是否戒烟会降低 RA 发育的风险是不清楚的。']"
"between 1976 and 2015 , 1528 new cases of RA ( 63 % seropositive ) were identified in 230,000 women .","['在1976年至2015年间,在230,000名妇女中发现了1528例新病例(63%)。']"
"compared with never smoking , current smoking significantly raised risk for all RA and seropositive RA .","['与从未吸烟相比,目前的吸烟对所有 RA 和 seropositive RA 的风险显著增加。']"
"however , compared with risk in never smokers , risk for all RA and seropositive RA remained slightly elevated in former smokers , even those who had stopped the longest .","['然而,与从未吸烟者的风险相比,所有 RA 和血清积极的 RA 的风险在以前的吸烟者中仍然稍微上升,即使是那些最长时间停止过的吸烟者。']"
this study adds to our understanding of RA development .,['这项研究增加了我们对RA发展的理解。']
"in previously treated patients with FGFR alterations , the response rate with erdafitinib was 40 % .","['在患有FGFR变异的患者中,对Erdafitinib的反应率为40%。']"
"among the 99 patients assigned to the optimal dose group ( 8 mg / day escalated to 9 mg / day ) , the confirmed response rate ( the primary endpoint ) was 40 % ; an additional 39 % achieved stable disease .","['在99名患者中,被分配到最佳剂量组(8 mg / 日升至9 mg / 日),确认的反应率(初级终点)为40%;额外的39%实现了稳定的疾病。']"
response rates were similar regardless of prior therapy or of the presence or absence of visceral metastases .,"['答案率是相似的,无论是预先治疗或存在或缺席的阴道转移。']"
response rates were 49 % in the 74 patients with FGFR mutations and 16 % in the 25 with FGFR fusions .,"['答案率为74名患有FGFR突变的患者中49%,25名患有FGFR合并的患者中16%。']"
"in the 22 patients with prior CPI therapy , the response rate was 59 % .","['在22名患有先前CPI治疗的患者中,反应率为59%。']"
"on the basis of this study , erdafitinib was granted FDA approval for patients with selected FGFR mutations .","['基于这项研究,Erdafitinib被授予FDA批准的患者与选择的FGFR突变。']"
"although erdafitinib may be an important development for patients with advanced urothelial cancer , a number of issues remain .","['虽然 erdafitinib 可能是患有先进的尿道癌的患者的重要发展,但仍然存在一些问题。']"
"more than 60 % of pneumonias were due to viruses , predominantly respiratory syncytial virus ; the most common bacterial causes were Streptococcus pneumoniae , Haemophilus influenzae , and Mycobacterium tuberculosis .","['超过60%的肺炎是由于病毒,主要是呼吸合成病毒;最常见的细菌原因是Streptococcus pneumoniae,Haemophilus influenzae,和Mycobacterium tuberculosis。']"
"Haemophilus influenzae type B vaccine was routinely used in most sites , pneumococcal conjugate vaccine in about half .","['Haemophilus influenzae 型 B 疫苗在大多数地方常用,肺结核疫苗在大约一半。']"
Streptococcus pneumoniae was the most common bacterial cause ; it caused more than one third of very severe pneumonia cases .,['Streptococcus pneumoniae 是最常见的细菌原因;它导致超过三分之一的非常严重的肺炎病例。']
"among all pathogens , respiratory syncytial virus ( RSV ) accounted for the most cases ( 31 % ) .","['在所有病原体中,呼吸合成病毒(RSV)是最常见的病例(31%)。']"
prevalence of pneumonia and predominant causes varied widely by age and geographic location .,['肺炎的发病率和主要原因因年龄和地理位置而异。']
TEN pathogens together accounted for about 80 % of the cases .,['TEN病原体共占约80%的病例。']
"of the case pathogens , vaccines exist for 14 % .","['在病原体的情况下,疫苗存在14%。']"
"the low number of common pathogens identified should allow more targeted development of interventions , including vaccines .","['发现的常见病原体数量较低,应允许更有针对性的干预,包括疫苗。']"
RSV should be a primary target ; this study clearly documents the key role of RSV in serious respiratory infections .,['RSV应该是主要目标;这项研究清楚地证明了RSV在严重的呼吸道感染中的关键作用。']
"in addition to wider use of existing vaccines , other strategies to reduce the burden of respiratory infections include exclusive breastfeeding , better nutrition , and protection from indoor air pollution .","['除了广泛使用现有疫苗之外,减少呼吸道感染的负担的其他策略还包括独家哺乳、营养和防室空气污染的保护。']"
"as an editorialist notes , given high percentage of cases caused by viruses , strategies should be implemented to limit antibiotic use for viral infections .","['作为编辑的注意事项,考虑到病毒引起的病例的比例很高,应实施限制抗生素对病毒感染的使用策略。']"
CRC risk associated with nonadvanced adenomas or small serrated polyps is no different than having no polyps .,['与不先进的肾上腺素或小粘膜聚合物相关的CRC风险与没有聚合物没有不同。']
surveillance colonoscopy for colorectal cancer ( CRC ) is recommended at intervals determined by the most advanced lesions at baseline examinations .,['对染色性癌症(CRC)的监测科隆斯科建议在基线检查中最先进的伤害确定的间隔进行。']
"nonadvanced adenomas : aHR , 1.21 ; P = 0.52","['未进展的肾上腺素 : aHR, 1.21 ; P = 0.52']"
"any serrated polyp : aHR , 1.52 ; P = 0.05","['任何粘膜聚合物 : aHR, 1.52 ; P = 0.05']"
"large serrated polyps ( ≥ 10 mm ) : aHR , 3.35 ; P = 0.008","['大粘膜聚合物( ≥ 10 毫米 ) : aHR, 3.35 ; P = 0.008']"
"however , the most notable findings in this study pertain to the much more prevalent nonadvanced adenomas and small serrated polyps , for which metachronous CRC risks were not significantly different than having no polyps at baseline .","['然而,这项研究中最显著的发现属于更常见的非先进的肾上腺素和小细胞聚合物,对这些聚合物的甲状腺疾病风险并不大不同于没有聚合物在基线上。']"
identifying predictive markers would allow for enhanced treatment protocols for these infants .,['识别预测标记将允许这些婴儿的增强治疗协议。']
"in a secondary analysis of data from the Multicenter Airway Research Collaboration , researchers assessed the association between serum albumin level and apnea in 1016 infants ( median age , 3 months ) hospitalized with bronchiolitis and without confounding heart and lung conditions .","['在Multicenter Airway Research Collaboration的数据的次要分析中,研究人员评估了1016名婴儿(中年3个月)患有 bronchiolitis和没有混乱的心脏和肺部疾病的血清阿尔博丁水平和<unk>疹之间的联系。']"
apnea occurred in 25 infants during hospitalization and in 44 infants before but not during hospitalization .,"['在入院期间的25名婴儿和在入院前的44名婴儿中,但在入院期间没有出现失眠。']"
among the findings :,['在这些发现中:']
"among the 25 infants with apnea during hospitalization , the median serum albumin level was 3.5 g / dL and 22 infants ( 88 % ) had low levels .","['在入院期间患有腹泻的25名婴儿中,中间血清 albumin 水平为 3.5 g / dL,22名婴儿(88%) 水平低。']"
overall prevalence of apnea was 5.7 % in infants with low albumin versus 0.5 % in those with normal albumin .,['一般腹泻的发病率在低 albumin 婴儿中为 5.7% 与正常 albumin 婴儿中为 0.5%.']
"low albumin was significantly associated with apnea ( odds ratio , 12.7 ) .","['低 albumin 与 apnea ( odds ratio, 12.7 ) 显著相关。']"
"younger age , preterm birth , and low weight for age also were associated with apnea .",['年轻的年龄、早产和年龄较低的体重也与失眠有关。']
"after adjustment for the above risk factors , low serum albumin remained statistically associated with apnea ( OR , 4.4 ) .","['在对上述风险因素进行调整后,低血清阿尔博丁仍然与<unk>症统计相关( OR, 4.4)。']"
risk for apnea was similar in infants with and without respiratory syncytial virus infection .,['患失眠的风险类似于患有和没有呼吸道合成病毒感染的婴儿。']
"low serum albumin seems to be another warning sign for apnea risk in infants with bronchiolitis , along with prematurity and low weight for age .","['低血清 albumin 似乎是另一个警告信号,在患有 bronchiolitis 的婴儿中患有<unk>疹的风险,以及早产和年龄较低的体重。']"
"however , unfortunately the sensitivity of low serum albumin for predicting apnea is not great , as most children with low levels did not develop apnea .","['然而,不幸的是,低血清阿尔博丁对预测腹泻的敏感性并不大,因为大多数低水平的儿童没有发育腹泻。']"
the authors ( and I ) do not recommend routine monitoring of albumin in infants with bronchiolitis based on this study .,"['作者(和我)不建议基于这项研究,在患有 bronchiolitis 的婴儿中定期监测阿尔博明。']"
sponsoring Organization : British Society of Gastroenterology,['赞助组织:英国胃肠道学协会']
IEE is also the most accurate imaging modality for diagnosing and staging gastric dysplasia and early cancer .,"['IEE 也是最准确的图像模式,用于诊断和预测胃 dysplasia 和早期癌症。']"
grade the location and extent of AG and GIM as distal gastric ( affecting antrum or incisura ; low risk ) or proximal gastric ( affecting the body with or without the antrum and incisura ; high risk ) .,['等級 AG 和 GIM 的位置和範圍為 distal gastric (影響 antrum 或 incisura ; 低風險 ) 或 proximal gastric (影響身體與或沒有 antrum 和 incisura ; 高風險 ) 。']
"perform endoscopic surveillance every 3 years in patients diagnosed with extensive AG or GIM ( i.e. , affecting the antrum and body ) , but not in patients with AG or GIM limited to the antrum ( unless there is a strong family history of gastric adenocarcinoma or persistent Helicobacter pylori ) .","['每3年进行内分泌监测,在患有广泛的 AG 或 GIM 诊断的患者(即影响 antrum 和 身体),但不限于 antrum 的 AG 或 GIM 患者(除非有强烈的胃肾癌病史或持久的 Helicobacter pylori )。']"
sponsoring Organization : American Academy of Pediatrics and American Academy of Obstetricians and Gynecologists ( ACOG ),['赞助组织:美国儿科学院和美国妇科医学家和妇科医学家学院(ACOG)']
guidelines to reduce neonatal infection with Group B Streptococcus ( GBS ) were first developed in 1996 and were most recently revised and updated in 2010 .,"['针对减少新生儿B型Streptococcus(GBS)感染的指导方针于1996年首次开发,并于2010年最近修订和更新。']"
the current update is based on a review of epidemiology and practice standards .,['目前的更新是基于流行病学和实践标准的审查。']
key Findings and Recommendations,['关键结论和建议']
intrapartum antibiotic prophylaxis is recommended for all women with positive screening cultures .,['生育内抗生素预防是推荐给所有有积极的筛查文化的女性。']
this detailed document reviews updated epidemiology of neonatal GBS disease and provides guidance for the management of both pregnant women and infants with signs of sepsis in the newborn period .,"['这份详细的文件评论更新了新生儿GBS疾病的流行病学,并提供了对怀孕妇女和婴儿在新生儿期间塞普西斯的迹象的管理的指导。']"
daily data on mortality and air pollution were collected from 652 cities in 24 countries or regions .,['每日关于死亡率和空气污染的数据从24个国家或地区的652个城市收集。']
"the corresponding increases in daily mortality for the same change in PM2.5 concentration were 0.68 % ( 95 % CI , 0.59 to 0.77 ) , 0.55 % ( 95 % CI , 0.45 to 0.66 ) , and 0.74 % ( 95 % CI , 0.53 to 0.95 ) .","['相应的每日死亡率增加相同的 PM2.5 浓度变化为 0.68 % (95 % CI, 0.59 至 0.77 ), 0.55 % ( 95 % CI, 0.45 至 0.66 ), 和 0.74 % ( 95 % CI, 0.53 至 0.95 ) 。']"
these associations remained significant after adjustment for gaseous pollutants .,['这些化合物在气体污染物调整后仍然是显著的。']
associations were stronger in locations with lower annual mean PM concentrations and higher annual mean temperatures .,['协会在低年平均PM浓度和高年平均温度的地方更强大。']
these data reinforce the evidence of a link between mortality and PM concentration established in regional and local studies . ( Funded by the National Natural Science Foundation of China and others . ),['这些数据强化了在区域和地方研究中建立的死亡率和 PM 浓度之间的联系的证据(由中国国家自然科学基金会和其他机构资助)。']
"particulate matter ( PM ) , especially , arouses public health concerns because of its toxicity and the widespread human exposure to this pollutant .","['粒子物质(PM),特别是,因其毒性和人类对这种污染物的广泛暴露而引起公众健康的担忧。']"
"PM , which includes inhalable particles with an aerodynamic diameter of 10 μm or less ( PM10 ) and fine particles with an aerodynamic diameter of 2.5 μm or less ( PM2.5 ) , is emitted from combustion sources or formed through atmospheric chemical transformation .","['PM(含有10 μm或更小的空气动态直径(PM10)和 2.5 μm或更小的空气动态直径(PM2.5 )的微粒,是从燃烧来源发出或通过大气化学转型形成的。']"
"given the extensive evidence regarding their effects of health , the daily and annual mean concentrations of PM10 and PM2.5 are regulated according to the World Health Organization ( WHO ) Air Quality Guidelines4 and standards in major countries .","['鉴于对其对健康的影响的广泛证据,每日和每年的PM10和PM2.5的平均浓度按照世界卫生组织(WHO)的空气质量指南4和主要国家的标准进行调节。']"
"however , most evidence has been obtained from studies in single cities , regions , or countries , and there are challenges in comparing these results and in synthesizing effect estimates because of different modeling approaches and potential publication bias .","['然而,大多数证据都来自单个城市、地区或国家的研究,并且由于不同的模型方法和潜在的出版差异,比较这些结果和合成效应估计存在挑战。']"
"these limitations can be addressed by performing international , multicenter studies that adopt the same analytic protocol and model specifications to estimate globally representative associations of PM10 and PM2.5 exposures with daily mortality .","['这些限制可以通过进行国际、多中心研究,采用相同的分析协议和模型规格来估计全球代表性 PM10 和 PM2.5 曝光与日常死亡率。']"
"we obtained health and environmental data from the MCC database , which has been described previously.10,12","['我们从 MCC 数据库中获取了健康和环境数据,此前已被描述。']"
"the current analysis was limited to locations that had available data on air pollution ( 652 urban areas in 24 countries or regions , with the data covering the period from 1986 through 2015 ) ( Table S1 in the Supplementary Appendix , available with the full text of this article at NEJM.org ) .","['目前的分析仅限于有空气污染数据的地点(24个国家或地区的652个城市区域,包括1986年至2015年期间的数据)(附件中的S1表,可在NEJM.org上找到本文的完整文本)。']"
data on mortality were obtained from local authorities within each country .,['死亡率数据来自各国地方当局。']
we obtained daily data on PM10 in 598 cities and on PM2.5 in 499 cities .,['我们每天收集了598个城市的PM10和499个城市的PM2.5的数据。']
data on both pollutants were available in 445 cities in 16 countries or regions .,['两种污染物的数据在16个国家或地区的445个城市可用。']
we also collected data on the daily mean temperature and daily mean relative humidity .,['我们还收集了每日平均温度和每日平均相对湿度的数据。']
"to avoid potential consequences of including outlying values of exposure data , we used trimmed data , in which the highest 5 % and lowest 5 % of PM10 and PM2.5 measurements were excluded.14","['为了避免包括曝光数据的外观值的潜在后果,我们使用压缩数据,其中最高5 %和最低5 %的PM10和PM2.5测量被排除。']"
we performed several sensitivity analyses .,['我们进行了多种敏感性分析。']
"third , we restricted the analyses to data available after the year 2000 .","['第三,我们将分析限制到2000年以后可用的数据。']"
a P value of less than 0.05 was considered to indicate statistical significance .,['低于 0.05 的 P 值被认为表明统计意义。']
more details are presented in the Methods section in the Supplementary Appendix .,['更多详细信息在附件中的方法部分中呈现。']
descriptive ANALYSES,['描述分析']
"PM10 was strongly correlated with PM2.5 , with a mean Pearson correlation coefficient of 0.78 .","['PM10 与 PM2.5 密切相关,平均为 0.78 的 Pearson 相关率。']"
"the mean Pearson correlation coefficients between PM10 and gaseous pollutants were 0.46 with nitrogen dioxide , 0.20 with ozone , 0.38 with sulfur dioxide , and 0.40 with carbon monoxide .","['皮尔森的 PM10 和气体污染物之间的平均相对比为 0.46 与氮二氧化物, 0.20 与臭氧, 0.38 与硫二氧化物, 0.40 与碳二氧化物。']"
"the corresponding coefficients between PM2.5 and gaseous pollutants were 0.48 , 0.22 , 0.40 , and 0.45 .","['PM2.5 和气体污染物之间的相应比例为 0.48, 0.22, 0.40, 和 0.45 。']"
other descriptive statistics and the correlations between daily mean PM concentrations and weather variables are summarized in the Results section in the Supplementary Appendix .,['其他描述统计和每日平均 PM 浓度和天气变量之间的关系在附件中的结果部分中总结。']
regression ANALYSES,['回归分析']
these moving averages were then applied in subsequent analyses .,['这些移动平均值随后在后续分析中被应用。']
"for both PM10 and PM2.5 , the associations were significant on lag 0 day and then attenuated substantially on lag 1 to 2 days ; the estimates of the associations were strongest on lag 0 to 1 day ( Table S4 in the Supplementary Appendix ) .","['对于 PM10 和 PM2.5 两者,合并在 0 天下显著,然后在 1 至 2 天下显著减轻;合并的估计在 0 至 1 天下最强(附件中的 S4 表)。']"
"estimates of the effect in France , Estonia , and Switzerland were close to the global median estimate of 0.46 % in association with PM10 concentration ; estimates of the effect in Switzerland and South Africa were close to the global median estimate of 0.80 % in association with PM2.5 concentration .","['法国、爱沙尼亚和瑞士的影响估计接近与PM10浓度相结合的全球平均估计为0.46%,瑞士和南非的影响估计接近与PM2.5浓度相结合的全球平均估计为0.80%。']"
"regional analyses indicated differences between areas ( Table S6 in the Supplementary Appendix ) , with higher estimates of the effect in the region of the Americas and smaller estimates in the Western Pacific region .","['区域分析表明区域之间的差异(附件中的S6表),在美国地区的影响估计更高,在西太平洋地区的估计更小。']"
the slopes for both curves were steeper at concentrations lower than 40 μg per cubic meter for PM10 and lower than 20 μg per cubic meter for PM2.5 .,['兩個曲線的曲線在 PM10 的每立方米低於 40 μg 的濃度和 PM2.5 的每立方米低於 20 μg 的濃度。']
the slopes seemed to flatten at high ranges .,['它们似乎在高层上浮动。']
sensitivity analyses confirmed these results .,['敏感性分析证实了这些结果。']
"finally , the analysis in which the subset of data since the year 2000 was used provided similar estimates .","['最后,分析自2000年以来使用的数据子组提供了类似的估计。']"
estimates based on nontrimmed PM data are provided in Table S8 in the Supplementary Appendix .,['基于非期限 PM 数据的估计在附件 S8 表中提供。']
"our study analyzed multisite data on air pollution and mortality in 652 cities across different countries and regions , although most countries and cities were in the northern hemisphere .","['我们的研究分析了652个不同国家和地区的空气污染和死亡率的多网站数据,尽管大多数国家和城市位于北半球。']"
"the percentage increase in mortality for the same increase in PM10 concentration was 0.77 % in the Multicity Study of Air Pollution and Mortality in Latin America ( ESCALA ) , 8 0.55 % in the Public Health and Air Pollution in Asia ( PAPA ) study , 7 and 0.19 % in the reanalysis of the U.S. National Morbidity Mortality Air Pollution Study ( NMMAPS ) .21","['相同增加的PM10浓度死亡率的百分比增加在拉丁美洲的多元性空气污染和死亡率研究(ESCALA)中为0.77%,在亚洲的公共卫生和空气污染研究(PAPA)中为8.55%,在美国国家疾病死亡率空气污染研究(NMMAPS)的重新分析中为7和0.19%。']"
"in addition , we found that the associations of mortality with PM concentrations were slightly stronger with PM2.5 than with PM10 in most countries and regions , which added to the evidence that PM2.5 accounted for a larger proportion of the effects of PM10 and PM2.5 combined.6","['此外,我们发现,与 PM 浓度的死亡率的联系在大多数国家和地区的 PM2.5 比 PM10 稍微强大,这增加了 PM2.5 与 PM10 和 PM2.5 相结合的影响的比例。']"
the stronger effects of PM2.5 may also be supported by the abundant evidence that this particulate fraction contains more small particles that can absorb toxic components from the air and penetrate deep into the lungs.24,"['PM2.5 的有效性也可能受到丰富的证据的支持,表明该粒子部分含有较小的粒子,可以从空气中吸收有毒组件并深入渗透到肺部。']"
"furthermore , the higher proportion of young people in developing countries may decrease population susceptibility to PM , and less outdoor activity during days with high pollution levels may decrease exposure .","['此外,发展中国家的年轻人比例较高可能会降低人口对 PM 的敏感性,在高污染水平的日子里,户外活动较少可能会降低暴露。']"
"however , associations estimated for extreme PM concentrations are characterized by wider confidence intervals , with greater uncertainty about the actual mortality risk at such values .","['然而,对极端 PM 浓度估计的协会具有更广泛的信任间隔,对这些值的实际死亡风险的不确定性更大。']"
we found significant evidence of spatial heterogeneity in the associations between PM concentration and daily mortality across countries and regions .,['我们在 PM 浓度和各个国家和地区的日常死亡率之间的关系中发现了显著的空间异性证据。']
"we also found that higher annual mean concentrations of PM10 and PM2.5 were accompanied by weaker associations with daily mortality , a finding that has been reported in previous studies.16,25","['我们还发现,高年平均 PM10 和 PM2.5 的浓度伴随着与日常死亡率的较弱联系,这是在以前的研究中报告的发现。']"
"the estimates of the association between PM and mortality in some countries ( e.g. , France , Finland , Sweden , and the United Kingdom ) were smaller and not significant .","['某些国家(例如,法国、芬兰、瑞典和英国)的总理与死亡率之间的联系的估计较小而不大。']"
"these countries had fewer cities included and shorter periods evaluated , which may increase the statistical uncertainty in the estimation of the effect .","['这些国家包括更少的城市和更短的评估期,这可能会增加统计不确定性在估计效果。']"
more interpretations on this issue are provided in the Discussion section in the Supplementary Appendix .,['更多关于此事的解释在附件的讨论部分中提供。']
this study has several limitations .,['这项研究有几个限制。']
"first , although the analysis included 24 major countries and regions on six continents , our findings cannot be interpreted as fully globally representative because the 652 cities were mainly located in East Asia , Europe , and North America , with a smaller number of cities in Latin America and Africa .","['首先,虽然分析包括六大洲的24个主要国家和地区,但我们的发现不能被解释为完全全球代表性,因为652个城市主要位于东亚、欧洲和北美,拉丁美洲和非洲的城市数量较小。']"
"fourth , there are some missing data , but their influence on our estimates was not substantial ( see the Discussion section and Table S9 in the Supplementary Appendix ) .","['第四,有些数据缺乏,但它们对我们的估计的影响并不大(参见附件中的讨论部分和表S9)。']"
this study indicated independent associations of PM10 and PM2.5 concentrations with daily mortality after adjustment for gaseous pollutants .,"['这项研究表明,在适用于气体污染物的调整后,每日死亡率的PM10和PM2.5浓度的独立结合。']"
the role of assessment of myocardial viability in identifying patients with ischemic cardiomyopathy who might benefit from surgical revascularization remains controversial .,['评估心脏病的可行性在识别患有催化心脏病的患者的作用可能受益于手术复发仍然有争议。']
"furthermore , although improvement in left ventricular function is one of the goals of revascularization , its relationship to subsequent outcomes is unclear .","['除此之外,尽管左<unk>功能的改善是重振的目标之一,但其与随后的结果的关系不清楚。']"
patients were randomly assigned to undergo CABG and receive medical therapy or to receive medical therapy alone .,['病人随机被授予接受CABG并接受医疗治疗或单独接受医疗治疗。']
the primary end point was death from any cause .,['主要的终点是任何原因的死亡。']
"however , no significant interaction was observed between the presence or absence of myocardial viability and the beneficial effect of CABG plus medical therapy over medical therapy alone ( P = 0.34 for interaction ) .","['然而,没有显著的相互作用被观察到在存在或缺乏心脏病的可行性和有益的效果CABG加上医疗治疗在医疗治疗单独(P = 0.34相互作用)之间。']"
"an increase in left ventricular ejection fraction was observed only among patients with myocardial viability , irrespective of treatment assignment .","['左<unk>排泄分裂的增加仅在患有心血管可行性患者中被观察到,无论治疗任务如何。']"
there was no association between changes in left ventricular ejection fraction and subsequent death .,['左腹部排泄分裂和随后的死亡之间没有任何联系。']
"ischemic heart disease is the most common and most lethal cause of heart failure.1,2",['心脏病是最常见和最致命的心脏衰竭的原因。']
it is also the only cause of left ventricular dysfunction that is amenable to the benefit of surgical revascularization .,"['它也是左<unk>功能障碍的唯一原因,可益于手术复发。']"
"the STICH trial was a prospective , multicenter , randomized , nonblinded trial sponsored by the National Heart , Lung , and Blood Institute ( NHLBI ) of the National Institutes of Health .",['STICH审查是由国家卫生研究所国家心脏、肺和血液研究所(NHLBI)赞助的可见、多中心、随机、无盲的审查。']
"in this trial , 1212 patients with coronary artery disease who had a left ventricular ejection fraction of 35 % or lower were enrolled during the period from 2002 through 2007 .","['在这项研究中,1212名患有冠状动脉疾病的患者在2002年至2007年期间注册了35%或更低的左<unk>排泄分。']"
the trial was performed to test the hypothesis that CABG in combination with appropriate medical therapy would result in better survival outcomes than appropriate medical therapy alone .,['试验是为了测试假设CABG与适当的医疗治疗将导致比适当的医疗治疗单独更好的生存结果。']
"a complete list of inclusion and exclusion criteria is provided in Table S1 in the Supplementary Appendix , available with the full text of this article at NEJM.org .","['包含和排除标准的完整列表在附件中的表 S1,可在NEJM.org上找到本文的完整文本。']"
"the NHLBI and the ethics committee at each participating center approved the trial protocol , available at NEJM.org .","['NHLBI 和各参与中心的伦理委员会批准了审判协议,可在 NEJM.org 上找到。']"
"the design of the STICH trial and the results of the analysis of the primary hypothesis have been reported previously.3,4,13",['STICH试验的设计和初始假设的分析结果已提前报告。']
"although tests to assess myocardial viability were initially mandated as part of the STICH protocol , this requirement was discontinued because of difficulties in patient enrollment .","['雖然考試以評估心血管可行性最初被委託作為STICH議定書的一部分,但這項要求因病人登記的困難而被中止。']"
"hence , only a proportion of patients enrolled in the STICH trial were included in the myocardial viability substudy .","['因此,只有百分之百的病人被列入STICH试验被列入心血管可行性研究。']"
the current study was designed by the first author and was approved by the policy and publications committee of the STICH trial .,"['目前的研究是由第一位作者设计的,由STICH审判的政策和出版委员会批准。']"
the clinical and outcomes data were collected by personnel at the participating sites and were sent directly to the data coordinating center at the Duke Clinical Research Institute .,"['临床和结果数据由参与场所的员工收集,并直接发送到杜克临床研究所的数据协调中心。']"
"the images obtained for myocardial viability and other noninvasive studies were sent from the participating sites to the respective independent core laboratories , where they were evaluated ; the resultant data were then sent to the data coordinating center .","['为了心血管可行性和其他非侵略性研究而获得的图像,从参与场所发送到各自的核心实验室,在那里它们被评估;结果的数据随后发送到数据协调中心。']"
"the data coordinating center stored the data , and the statisticians at the Duke Clinical Research Institute ( the second and third authors ) wrote the statistical analysis plan and conducted the data analyses .","['数据协调中心存储了数据,杜克临床研究所的统计学家(第二和第三作者)写了统计分析计划,并进行了数据分析。']"
all the authors vouch for the accuracy and completeness of the data and for the fidelity of the study to the protocol .,"['所有作者都赞扬数据的准确性和完整性,以及研究对议定书的忠诚性。']"
"the first draft of the manuscript was written by the first author , and all the authors reviewed and revised subsequent drafts .","['手稿的第一张草案是由第一位作者撰写的,所有作者都审查并审查了随后的草案。']"
the manuscript was reviewed and approved for submission by the policy and publications committee of the STICH trial and by the NHLBI .,['手稿已被STICH审判的政策和出版委员会和NHLBI审查和批准提交。']
assessment OF MYOCARDIAL VIABILITY,['心血管生存率评估']
data collection for and analysis of the SPECT and dobutamine echocardiographic studies were coordinated at independent core laboratories that were funded by the NHLBI ; investigators at each laboratory were unaware of the treatment assignments and the individual characteristics of the patients .,"['对SPECT和Dubutamine的数据收集和分析,在由NHLBI资助的独立核心实验室进行了协调;每个实验室的研究人员都不知道治疗任务和患者的个性特征。']"
"details of the imaging protocols used to identify and quantify viable myocardium have been published previously.5,14",['图像协议的详细信息用于识别和量化可行的心血管已经公布。']
"in brief , thresholds of the extent of viable myocardium were prespecified to classify patients in a binary fashion as either having or not having substantial myocardial viability .","['简而言之,可行的心脏病的范围的边界被预定为将病人以二进制方式分类为有或没有显著的心脏病的可行性。']"
"for SPECT , patients with viability were defined as those with 11 or more viable segments on the basis of relative tracer activity .","['对于SPECT,可行性患者被定义为基于相对跟踪活动的11个或多个可行性分区的患者。']"
"for dobutamine echocardiography , patients with viability were defined as those with 5 or more segments with abnormal resting systolic function but manifesting contractile reserve during dobutamine administration .","['对于Dubutamine echocardiography,可行性患者被定义为具有5个或多个分区的患者,在Dubutamine服用期间表现出异常的休息系统功能,但在服用期间表现出合并性储备。']"
