English,Chinese
"in a multivariable model that accounted for all potential interactions and that used continuous measures when appropriate , there was suggestion of heterogeneity of treatment effect with possible benefit in patients with lower ejection fraction and in women ( Table S4 in the Supplementary Appendix ) .",在考虑到所有可能的相互作用并使用连续测量的多变量模型中，有迹象表明治疗效应存在异质性，可能对心功能不全程度较低的患者和女性有益（表S4在补充附录）。
"the most frequent serious adverse events and adverse events are summarized in Tables S5 and S6 , respectively , in the Supplementary Appendix .","The most frequent serious adverse events and adverse events are summarized in Tables S5 and S6, respectively, in the Supplementary Appendix."
the primary composite outcome of total hospitalizations for heart failure and death from cardiovascular causes did not differ significantly between the two groups .,两组总的心脏衰竭住院和心血管原因死亡的主要组合结果并没有显著差异。
the findings from nine prespecified supportive and sensitivity analyses were consistent with those from the primary analysis .,九項預先確定的支持性和敏感性分析的發現與主要分析結果一致。
"patients with heart failure and preserved ejection fraction are phenotypically heterogeneous , 15 and our data raise the possibility of a differential treatment effect in the broad population studied .","heart failure patients with preserved ejection fraction are phenotypically heterogeneous, and our data suggest that there may be a different therapeutic effect in this broad population."
"other diseases , such as amyloid cardiomyopathy , may account for the reduced responsiveness with higher ejection fraction.21",其他疾病，例如淀粉样心肌病，可能是导致高心排出率下降的原因之一。21
survival was superior in patients with microsatellite instability versus microsatellite stability .,Patients with microsatellite instability had better survival rates than those with microsatellite stability.
microsatellite instability ( MSI ) is a favorable prognostic marker but is present in less than 10 % of gastric cancers .,微小卫星不稳定性（MSI）是一个有利的预后标志，但只有10％以下的胃癌患者表现出这种情况。
"given the uncommon presence of MSI , its impact on the outcome of adjuvant therapy in locally advanced gastric cancer has not been clearly defined .","Given the uncommon presence of MSI, its impact on the outcome of adjuvant therapy in locally advanced gastric cancer has not been clearly defined.

Chinese:

鉴于MSI的不常见性，其对局部晚期胃癌的化疗疗效的影响尚不明确。"
MSI status was available from 1556 patients ( 71 % men ; 63 % Asian ; 37 % European ) .,"MSI status was available from 1556 patients ( 71 % men ; 63 % Asian ; 37 % European ) .

Chinese:

MSI 状态可以从 1556 位患者获得 ( 71% 是男性 ; 63% 是亚洲人 ; 37% 是欧洲人 ) 。"
MSI was present in 121 ( 7.8 % ) of patients .,"MSI was present in 121 ( 7.8 % ) of patients .

Chinese:

在病人中，有121人（7.8%）存在MSI。"
"of all patients , 45 % had intestinal histology , 71 % underwent surgery and chemotherapy with or without radiation therapy , and 29 % underwent surgery alone .",所有患者中，45%患有肠道组织学问题，71%接受了手术和化疗（有无放疗），而29%仅接受了手术治疗。
"a benefit for chemotherapy added to surgery was seen in MSS patients compared with MSI patients ( DFS , 77 % vs. 70 % ; OS , 83 % vs , 75 % ) , suggesting a potential survival detriment for chemotherapy in MSI patients .",在MSS病人中，与MSI病人相比，化疗与手术相结合的好处较明显（DFS，77％ vs. 70％；OS，83％ vs，75％），这表明MSI病人化疗可能会导致生存不良。
there was no difference in survival after recurrence for MSI or MSS cancers .,"There was no difference in survival after recurrence for MSI or MSS cancers.

Chinese:

MSI和MSS癌症复发后的生存率无差别。"
"MSI should now be tested in all patients with locally advanced gastric cancer who are considered for adjuvant chemotherapy , and surgery alone should be considered for MSI patients .",MSI应该在所有考虑使用化疗的局部晚期胃癌患者中进行测试，仅应考虑对MSI患者进行手术。
"pregnancy can be considered a physiologic stress test ; as such , it could have value for cardiovascular ( CV ) risk prediction .",妊娠可被视为一种生理上的压力测试，因此，它可能具有预测心血管风险的价值。
monitor blood pressure per the most recent American Heart Association guidelines,根据最新的美国心脏协会指南，监测血压。
promote healthy lifestyle and weight,促进健康的生活方式和体重
"assess lipid profiles and fasting glucose levels , with lifestyle modification if abnormal , followed by medication management as appropriate","Assess lipid profiles and fasting glucose levels, with lifestyle modification if abnormal, followed by medication management as appropriate."
perform oral glucose tolerance testing for women with histories of gestational diabetes,对有妊娠糖尿病史的女性进行口服葡萄糖耐量测试。
"apply postpartum screening practices from multiple disciplines ( i.e. , obstetrics , maternal fetal medicine , primary care , cardiology , nutrition , exercise physiology )",应用多学科的产后筛查实践（如妇产科、产科风险管理、主要保健、心脏病、营养、运动生理学）。
"although CV disease is the leading cause of death among U.S. women , risk factors often are modifiable .",尽管心血管疾病是美国女性的主要死因，但风险因素往往可以通过改变生活方式来控制。
"however , spironolactone causes hyperkalemia - and thus is relatively contraindicated - in patients with renal dysfunction .",然而，氯普诺兰醇会导致高钾血症，因此在肾功能不全的患者中相对禁忌。
the primary endpoint - the proportion of patients still taking spironolactone at 12 weeks - occurred significantly more frequently with patiromer than with placebo ( 86 % vs. 66 % ) .,主要终点 - 12周时仍服用spironolactone的患者比例 - 发生在使用patiromer的患者中更频繁（86％对66％）。
"spironolactone was stopped due to hyperkalemia ( persistent potassium level , ≥ 5.5 mmol / L ) less frequently with patiromer than with placebo ( 7 % vs. 23 % ) .","spironolactone was stopped due to hyperkalemia (persistent potassium level, ≥5.5 mmol/L) less frequently with patiromer than with placebo (7% vs. 23%)."
mean systolic blood pressure decreased by about 11 mm Hg during the study .,在研究期间，平均收缩压平均下降了11毫米汞柱。
these results indicate that patiromer could facilitate spironolactone use in some patients with resistant hypertension and CKD .,这些结果表明，patiromer可能会促进某些患者使用硝酸镁来抵抗高血压和CKD。
"toddlers and parents were more likely to have controlling , intrusive , and isolating behaviors when trying to read a tablet together .",当试图一起阅读平板电脑时，幼儿和家长很有可能表现出控制性、侵犯性、孤立性的行为。
"the American Academy of Pediatrics recommends that parents interact with children using digital devices such as smartphones and tablets , but the character of those interactions has not been described well .","The American Academy of Pediatrics recommends that parents interact with children using digital devices such as smartphones and tablets, but the character of those interactions has not been described well.

Chinese:

美国儿科学会建议父母使用智能手机和平板电脑等数字设备与孩子互动，但这种互动的性质尚未被描述得很清楚。"
the order of books varied randomly among dyads .,在二人组中，书籍的顺序是随机的。
the behaviors observed in this study will be recognizable to anyone who has tried to share a digital device with a young child .,这项研究观察到的行为对于任何试图与幼儿共享数字设备的人来说都是熟悉的。
"of these patients , 30 % had class 2 mutations and 70 % had class 3 mutations .",这些病人中，有30%患有二级突变，70%患有三级突变。
oral immunotherapy produces temporary desensitization in most patients but does not cure peanut allergy .,口服免疫疗法能够在大多数病人身上产生暂时的脱敏作用，但并不能治愈花生过敏。
patients were randomized to one of three groups :,病人随机分配到三组中的一组：
placebo for 3 years,"在我的朋友圈，有一个比我大三岁的姑娘，她患有白血病。我们都知道她身体不好，但是没想到她会坚持治疗这么久。她最近刚刚告诉我，她已经在服用安慰剂（placebo）治疗自己的白血病3年了。

中文：

在我的朋友圈里，有一个比我大三岁的姑娘，她患有白血病。我们都知道她身体不好，但是没想到她会坚持治疗这么久。她最近刚刚告诉我，她已经在服用安慰剂（placebo）治疗自己的白血病3年了。"
"however , during the months after stopping OIT , most patients gradually lost their ability to consume large amounts of peanut protein .",然而，在停用OIT之后的几个月里，大多数病人逐渐失去了食用大量花生蛋白的能力。
"on September 13 , 2019 , an FDA advisory committee recommended approval of a peanut OIT .",2019年9月13日，美国食品药品监督管理局(FDA)的一个顾问委员会推荐批准一种花生OIT（过敏原免疫疗法）。
"and now , these findings suggest that patients might have to continue OIT indefinitely to maintain their desensitization .",现在，这些发现表明，病人可能需要继续进行OIT，以保持他们的去敏感化。
the two primary end points were overall survival and the percentage of patients who had complete remission with full or partial hematologic recovery .,两个主要终点是总体生存率和完全或部分血液复苏的患者百分比。
"of 371 eligible patients , 247 were randomly assigned to the gilteritinib group and 124 to the salvage chemotherapy group .",在371名符合资格的患者中，247人被随机分配给吉列替尼组，124人被分配给救助化疗组。
"the percentage of patients who had complete remission with full or partial hematologic recovery was 34.0 % in the gilteritinib group and 15.3 % in the chemotherapy group ( risk difference , 18.6 percentage points ; 95 % CI , 9.8 to 27.4 ) ; the percentages with complete remission were 21.1 % and 10.5 % , respectively ( risk difference , 10.6 percentage points ; 95 % CI , 2.8 to 18.4 ) .","在吉利特尼布（gilteritinib）组和化疗组，病人完全缓解并全部或部分康复的百分比分别为34.0％和15.3％（风险差异为18.6个百分点；95％置信区间[CI]为9.8至27.4）；完全缓解的百分比分别为21.1％和10.5％（风险差异为10.6个百分点；95％CI为2.8至18.4）。

Chinese:

在吉利特尼布（gilteritinib）组和化疗组，病人完全缓解并全部或部分康复的百分比分别为34.0%和15.3%（风险差异为18.6个百分点；95%置信区间[CI]为9.8至27.4）；完全缓解的百分比分别为21.1%和10.5%（风险差异为10.6个百分点；95%CI为2.8至18.4）。"
"in an analysis that was adjusted for therapy duration , adverse events of grade 3 or higher and serious adverse events occurred less frequently in the gilteritinib group than in the chemotherapy group ; the most common adverse events of grade 3 or higher in the gilteritinib group were febrile neutropenia ( 45.9 % ) , anemia ( 40.7 % ) , and thrombocytopenia ( 22.8 % ) .",在考虑治疗持续时间、3级或更高级别不良事件以及严重不良事件的分析中，吉列替尼组中发生这些事件的频率低于化疗组；吉列替尼组中最常见的3级或更高级别不良事件是脾脏白血病（45.9%）、贫血（40.7%）和血小板减少症（22.8%）。
"however , for patients with relapsed or refractory AML , neither midostaurin nor lestaurtinib has conferred durable clinical benefit as a single agent.13,14,20",然而，对于复发或难治性的 AML 患者来说，米多斯特伦或者雷斯特伦比单独使用都没有获得持续的临床益处。13，14，20
"sorafenib showed clinical activity in patients with AML that was positive for the FLT3 ITD mutation , but data from randomized trials that support its use in that context are scarce.16",sorafenib在FLT3 ITD突变阳性的AML患者中显示出了临床活性，但对于支持其在该经济上的随机化试验数据缺乏。16
similar resistance is seen with sorafenib.23,类似的抗性也出现在索拉非尼药物中。23
"gilteritinib also inhibits the tyrosine kinase AXL , which is implicated in FLT3 inhibitor resistance.26,27","gilteritinib also inhibits the tyrosine kinase AXL, which is implicated in FLT3 inhibitor resistance.26,27

Chinese:

gilteritinib还抑制了与FLT3抗性相关的酪氨酸激酶AXL。26,27"
"the randomized , phase 3 ADMIRAL trial was conducted at 107 centers in 14 countries and was sponsored by Astellas Pharma .",这是一项随机化的、3期的ADMIRAL试验，在14个国家的107个中心进行过，由Astellas Pharma赞助。
the trial was reviewed and approved by the institutional review board or ethics committee at each participating center and was conducted in accordance with the principles of the Declaration of Helsinki .,该试验经各参与中心的机构审查委员会或伦理委员会审查和批准，并按照《赫尔辛基宣言》的原则进行。
all the patients provided written informed consent at enrollment .,所有病人在入籍时均提供了书面知情同意书。
two authors who were employees of the sponsor designed the trial in collaboration with four academic authors .,两位作者是该赞助商的员工，与四位学术作者共同设计了这项试验。
all the authors had access to the trial data and were involved in data interpretation .,"All the authors had access to the trial data and were involved in data interpretation.

Chinese:
所有作者都可以查看试验数据，并参与数据解释。"
the authors and the sponsor vouch for the completeness and accuracy of the data and for the fidelity of the trial to the protocol ( available with the full text of this article at NEJM.org ) .,作者和赞助商保证数据的完整性和准确性，并保证试验与协议的忠实性（在本文的全文中可以在NEJM.org上找到）。
"the first and last authors wrote the manuscript , with additional writing and editorial assistance provided by medical writers who were funded by the sponsor .",第一位和最后一位作者创作了手稿，其他作者和编辑人员的帮助来自赞助商资助的医疗写作人员。
enrollment on the basis of local testing for the FLT3 mutation was permitted for patients with rapidly proliferative disease .,允许基于本地测试结果来招收FLT3突变患者。
FLT3 MUTATIONS,"FLT3 Mutations

Chinese: FLT3突變"
patients were required to have FLT3 ITD or TKD D835 or I836 mutations .,"Patients were required to have FLT3 ITD or TKD D835 or I836 mutations.

Chinese:

患者必须拥有FLT3 ITD或TKD D835或I836突变。"
"the median FLT3 ITD allelic ratio was established at 0.77 , with a high FLT3 ITD allelic ratio defined as 0.77 or greater and a low ratio as less than 0.77 .",FLT3 ITD allelic ratio的中位数被定为0.77，高FLT3 ITD allelic ratio被定义为0.77或更高，低比率为小于0.77。
no crossover between treatment groups was permitted .,不允许治疗组之间的交叉。
complete remission with full or partial hematologic recovery was evaluated in an interim analysis in the gilteritinib group only and was summarized in the final analysis for both treatment groups .,在 gilteritinib 组仅进行了临时分析，并在最终分析中总结了两组患者的恢复情况。
best response was noted at any postbaseline visit .,最佳反应在任何后基线访问中都得到了记录。
"treatment response was assessed with the use of modified International Working Group criteria ( Table S1 in the Supplementary Appendix , available at NEJM.org ) .31","treatment response was assessed with the use of modified International Working Group criteria ( Table S1 in the Supplementary Appendix , available at NEJM.org ) .31

Chinese:
使用修訂後的國際共同工作小組標準(請參閱NEJM.org上的附錄表S1)進行處置反應的評估。31"
minimal residual disease was not assessed .,最小残留疾病未被评估。
"safety was assessed by evaluating the incidence of adverse events , including evaluation of vital signs , and results from clinical laboratory tests , electrocardiograms , and ophthalmologic examinations .",安全性评估包括评估不良事件的发生率，包括评估体征、临床实验室检查、心电图和眼科检查结果。
expression of AXL ( a receptor tyrosine kinase associated with drug resistance ) was analyzed by means of flow cytometry .,通过流式细胞仪分析表达AXL（与药物耐药性相关的受体酪氨酸激酶）。
the first planned interim analysis - to evaluate the primary end point of the percentage of patients who had complete remission with full or partial hematologic recovery - occurred when approximately 141 patients in the gilteritinib group reached the time point of at least 112 days ( four treatment cycles ) after the receipt of first dose or after randomization ; the interim evaluation of complete remission with full or partial hematologic recovery rate had no effect on trial conduct .,第一个计划的中期分析-评估主要终点百分比的病人完全缓解与部分血液恢复-发生在大约141名病人达到时间点至少112天（4个治疗周期）后接受首批药物或随机化后; 完全缓解与部分血液恢复率的中期评估对试验进程无影响。
the planned final analysis was performed when approximately 258 deaths had occurred .,当约258人死亡时，计划的最终分析已经完成。
the statistical analysis plan excluded provisions for multiplicity correction in the evaluation of secondary and other outcomes .,统计分析计划不包括对次要和其他结果评估进行多元性纠正的条款。
these results are reported as point estimates and 95 % confidence intervals without adjustment for multiplicity and should not be used to infer definitive treatment effects .,这些结果以点估计和95％置信区间的形式报告，没有经过复数调整，不应用于推断明确的治疗效果。
"from October 20 , 2015 , to February 20 , 2018 , a total of 625 patients entered screening .","From October 20, 2015, to February 20, 2018, a total of 625 patients entered screening.

Chinese:

2015年10月20日至2018年2月20日，共有625名病人参加了筛查。"
"the event cutoff of 258 deaths , which triggered the final analysis , occurred on September 17 , 2018 ; the database was locked on October 19 , 2018 .",截止至2018年9月17日，最终分析所触发的死亡事件为258起；数据库于2018年10月19日锁定。
a total of 371 eligible patients underwent randomization ; 247 were assigned to the gilteritinib group and 124 to the chemotherapy group ( Figure 1 and Table 1 ) .,总共有371名符合条件的患者进行了随机分配；247名患者被分配到吉列替尼组，124名患者被分配到化疗组（图1和表1）。
"overall , 60.6 % of the patients had relapsed AML ( median duration of first remission , 6.0 months ; range , 0.3 to 60.0 ) , and 39.4 % had primary refractory disease .",总体而言，60.6%的病人复发了急性髓系细胞瘤（首次缓解的中位数为6.0个月，范围为0.3至60.0个月），而39.4%的病人患有主要难治性疾病。
most patients ( 83.8 % ) had received previous induction therapy with anthracyclines but not FLT3 inhibitors ( 87.6 % ) ; 21 patients ( 5.7 % ) had received the FLT3 inhibitor midostaurin .,大多数病人（83.8%）在此前接受过阿尔法环素的诱导治疗，但没有接受过FLT3抑制剂（87.6%）；21名病人（5.7%）接受过FLT3抑制剂米多斯特安。
"the median number of cycles of gilteritinib therapy received was 5 ( range , 1 to 33 ) .",中位数治疗周期为5（范围为1至33）。
"at the time of this analysis , 110 patients remained alive and 38 were continuing therapy with gilteritinib .",在这次分析的时候，110个病人还活着，38个病人仍在使用吉列替尼治疗。
"common reasons for the discontinuation of gilteritinib were relapse , progression , or lack of efficacy ( 50.2 % ) , death ( 14.6 % ) , and adverse events ( 11.3 % ) .",常见原因导致停止使用吉列替尼是复发（50.2%）、进展（14.6%）或疗效不佳（11.3%），死亡（14.6%）和不良事件（11.3%）。
"common reasons for the discontinuation of chemotherapy were relapse , progression , or lack of efficacy ( 39.5 % ) , withdrawal by the patient ( 8.1 % ) , physician decision ( 8.9 % ) , and death ( 8.1 % ) .",常见的 chemotherapy 停止原因为复发、进展、或者疗效不良（39.5%）、病人自行退出（8.1%）、医生决定（8.9%）和死亡（8.1%）。
the percentages of patients who were alive at 1 year were 37.1 % in the gilteritinib group and 16.7 % in the chemotherapy group .,在gilteritinib组的患者中，在1年内存活的百分比为37.1%，而在化疗组的患者中为16.7%。
"among patients with primary refractory AML , the median overall survival was 10.4 months in the gilteritinib group and 6.9 months in the chemotherapy group ( hazard ratio for death , 0.99 ; 95 % CI , 0.63 to 1.55 ) ( Table S3 ) .",在原发性抗性骨髓瘤患者中，吉利替尼组的平均总生存期为10.4个月，而化疗组的平均总生存期为6.9个月（死亡风险比为0.99；95%CI为0.63至1.55）。
"the percentage of patients who had complete remission with full or partial hematologic recovery was 34.0 % in the gilteritinib group and 15.3 % in the chemotherapy group ( risk difference , 18.6 percentage points ; 95 % CI , 9.8 to 27.4 ) ; the percentages of patients with complete remission were 21.1 % and 10.5 % , respectively ( risk difference , 10.6 percentage points ; 95 % CI , 2.8 to 18.4 ) ( Table 2 ) .",gilteritinib组患者全部或部分血液康复完全缓解的比例为34.0%，而化疗组为15.3%（危险差异为18.6个百分点；95%CI为9.8至27.4）；完全缓解的患者百分比分别为21.1%和10.5%（危险差异为10.6个百分点；95%CI为2.8至18.4）（见表2）。
the median duration of complete remission with full or partial hematologic recovery was 11.0 months in the gilteritinib group but could not be evaluated in the chemotherapy group because of censoring .,gilteritinib组的完全或部分血液学复苏完全缓解的中位数持续时间为11.0个月，但由于对化疗组的截断，无法评估。
the percentages of patients who had remission after an increase in the dose of gilteritinib ( 78 patients ) or a decrease in the dose ( 58 patients ) are shown in Table S5 .,表S5显示了78名患者增加剂量后缓解病情的百分比，而58名患者剂量减少后缓解病情的百分比。
"when we excluded remissions that occurred after transplantation during the trial , the percentage of patients who had complete remission with full or partial hematologic recovery was 26.3 % in the gilteritinib group and 15.3 % in the chemotherapy group ( risk difference , 10.9 percentage points ; 95 % CI , 2.4 to 19.5 ) .",当我们在试验期间排除移植后的缓解症状时，在吉利替尼组中有26.3%的患者完全缓解并具有完全或部分血液学恢复，而在化疗组中有15.3%的患者（风险差异为10.9个百分点; 95% CI，2.4至19.5）。
"among patients with primary refractory AML , the percentage of patients who had complete remission with full or partial hematologic recovery was 32 % ( 31 of 98 patients ) in the gilteritinib group and 21 % ( 10 of 48 patients ) in the chemotherapy group ( Table S3 ) .",在原发性难治性骨髓增生异常细胞病患者中，在吉利特尼布组，完全缓解或部分血液学复苏的患者百分比为32％（31/98），而在化疗组为21％（10/48）（表S3）。
the percentages of patients with a remission according to chemotherapy intensity and receipt or nonreceipt of previous transplantation are presented in Table S4 .,在化疗强度和接受或未接受先前移植的患者中，缓解率的百分比如表S4所示。
"among patients with FLT3 ITD mutations who had been randomly assigned to the gilteritinib group , 20.5 % had a complete remission ; among those who had been randomly assigned to chemotherapy , 9.7 % had a complete remission ( Table S6 ) .",在随机分配给吉列替尼组的 FLT3 ITD 突变患者中，20.5% 实现了完全缓解；在随机分配给化疗组的患者中，9.7% 实现了完全缓解（表 S6）。
"although the percentages of patients with complete remission were similar across the treatment groups among patients with FLT3 TKD mutations , gilteritinib therapy resulted in similar percentages of complete remission among patients with FLT3 TKD mutations alone ( 19.0 % ) and among those with FLT3 ITD mutations alone ( 20.5 % ) ( Table S6 ) .",尽管在 FLT3 TKD 突变患者中完全缓解的患者百分比相似，但 gilteritinib 治疗在 FLT3 TKD 突变患者中（19.0%）和 FLT3 ITD 突变患者中（20.5%）的完全缓解百分比相似（表 S6）。
"among patients treated with gilteritinib , the median overall survival was similar among those with FLT3 ITD mutations alone ( 9.3 months ) and those with FLT3 TKD mutations alone ( 8.0 months ) .",在使用gilteritinib治疗的患者中，FLT3 ITD突变体患者的平均总体生存期为9.3个月，而FLT3 TKD突变体患者的平均总体生存期为8.0个月。
"similar results were observed regarding adverse events that occurred during the first 30 days of treatment , except for elevations of the liver aminotransferase levels . ( details are provided in Tables S7 and S8 . )",类似的结果也观察到治疗前30天内发生的不良事件，但肝脏氨基转移酶升高的情况除外（表S7和S8中提供了详细信息）。
"common adverse events of grade 3 or higher in the gilteritinib group were febrile neutropenia ( 45.9 % ) , anemia ( 40.7 % ) , and thrombocytopenia ( 22.8 % ) ( Table 3 and Table S9 ) ; these were also the most common adverse events of grade 3 or higher that were considered by the investigators to be related to gilteritinib therapy ( Table S10 ) .",常见的3级或更高级别的gilteritinib组不良事件包括发热性中性粒细胞减少症（45.9％）、贫血（40.7％）和血小板减少症（22.8％）（表3和表S9）；这些也是调查员认为与gilteritinib治疗相关的最常见的3级或更高级别的不良事件（表S10）。
adverse events of grade 3 or higher that occurred during the first 30 days of treatment are presented in Table S8 .,在治疗的前30天内发生的3级或更高级别的不良事件在表S8中呈现。
dose reductions occurred in 6 patients who had a mean change from the baseline QTcF interval of more than 60 msec .,那些平均QTcF间期超过60毫秒的6名患者服药量减少了。
"there were 251 deaths in the safety population of 355 patients , including 170 deaths among 246 patients ( 69.1 % ) in the gilteritinib group and 81 deaths among 109 patients ( 74.3 % ) in the chemotherapy group .",在355名安全人群中，共计251例死亡，其中246例患者（69.1%）中有170例死亡，109例患者（74.3%）中有81例死亡。
"we found that in this population of patients , gilteritinib resulted in superior overall survival and percentages of remission as compared with salvage chemotherapy .",在这种患者群体中，我们发现吉列替尼治疗结果优于救助化疗。
the present trial enrolled patients with FLT3 ITD or FLT3 TKD mutations .,本次试验招募了患有FLT3 ITD或FLT3 TKD突变的患者。
"although FLT3 TKD mutations are uncommon at disease recurrence , they consistently and rapidly emerge during FLT3 inhibitor therapy to confer secondary resistance.22,34","尽管FLT3 TKD突变在疾病复发时很少见，但它们在FLT3抑制剂治疗中始终会迅速出现，从而导致二级抗性。22,34"
gilteritinib had clinical activity in all studied FLT3 mutation types .,gilteritinib 在所有研究的 FLT3 突变类型中都具有临床活性。
"not only were the percentages of patients with complete remission similar in the FLT3 TKD and ITD cohorts , but the median overall survival in these two cohorts was also similar .",不仅 FLT3 TKD 与 ITD 病人的完全缓解率相似，而且这两组病人的平均总体生存率也相似。
"overall , gilteritinib showed a consistent survival benefit across many subgroups .","Overall, gilteritinib showed a consistent survival benefit across many subgroups."
"although gilteritinib therapy resulted in 63 patients being able to undergo transplantation , the contribution of the transplantation to the survival benefit from gilteritinib is difficult to assess .",尽管吉利特辛治疗使63名患者能够接受移植手术，但移植手术对吉利特辛的生存益处难以评估。
the main toxic effect was myelosuppression .,主要的毒性作用是调节血细胞的能力下降。
a small signal regarding hepatic toxic effects bears attention in future studies .,未来的研究需要密切关注肝脏毒性方面的微弱信号。
"the primary outcome was the percentage of time that the blood glucose level was within the target range of 70 to 180 mg per deciliter ( 3.9 to 10.0 mmol per liter ) , as measured by continuous glucose monitoring .",該主要結果是透過持續血糖監測所得到的血糖值在70至180毫克/分升（3.9至10.0毫克/升）的目標範圍內所佔的比例。
"the age range of the patients was 14 to 71 years , and the glycated hemoglobin level ranged from 5.4 to 10.6 % .",病人的年龄范围为14至71岁，糖化血红蛋白水平范围为5.4%至10.6%。
all 168 patients completed the trial .,"All 168 patients completed the trial.

Chinese: 所有168名病人都完成了试验。"
"the mean adjusted difference in glycated hemoglobin level after 6 months was − 0.33 percentage points ( 95 % CI , − 0.53 to − 0.13 ; P = 0.001 ) .",调整后的平均糖化血红蛋白水平在6个月后为-0.33个百分点（95%CI，-0.53到-0.13；P = 0.001）。
"despite advances in care , attaining good glycemic outcomes in patients with type 1 diabetes remains challenging ; the targets set by the American Diabetes Association are met in only a minority of patients.1,2","尽管护理方面取得了进展，但在1型糖尿病患者中获得良好的血糖控制效果仍然是一项挑战。美国糖尿病协会设定的目标只有少数患者能够达到。1,2"
an investigational device exemption was approved by the Food and Drug Administration .,美国食品与药物管理局已批准了一项调查性设备豁免。
an independent data and safety monitoring board provided trial oversight .,一个独立的数据和安全监督委员会提供审查监督。
"the first , second , and last authors vouch for the completeness and accuracy of the data and for the fidelity of the trial to the protocol .",第一作者，第二作者和最后一位作者为数据的完整性和准确性负责，并保证实验符合协议。
funding was provided by the National Institute of Diabetes and Digestive and Kidney Diseases .,资金由国家糖尿病和消化与肾脏疾病研究所提供。
"tandem Diabetes Care reviewed the manuscript but was not otherwise involved in the trial design , conduct , data analysis , or manuscript preparation .","Tandem Diabetes Care reviewed the manuscript but was not otherwise involved in the trial design, conduct, data analysis, or manuscript preparation."
"to be included in the trial , patients had to be at least 14 years old and have a clinical diagnosis of type 1 diabetes ; they also had to have been treated with insulin for at least 1 year by means of a pump or multiple daily injections , without a restriction on the glycated hemoglobin level ( complete eligibility criteria are described in Table S1 in the Supplementary Appendix , available at NEJM.org ) .",为了纳入试验，病人必须至少14岁，并且在临床上被诊断为1型糖尿病；此外，他们还必须使用泵或多次每日注射的方式接受了至少1年的胰岛素治疗，而且血糖含量无限制（完整的资格标准请见补充附件1中的表格S1，可在NEJM.org上找到）。
patients in the control group received a continuous glucose monitor ; patients who had used a pump before participating in the trial used their personal pumps .,研究对象在对照组中使用了连续血糖监测器；而使用过泵的研究对象则继续使用自己的个人泵。
data from the devices were downloaded and reviewed at each visit and during telephone contacts .,设备中的数据在每次访问和电话联系期间都会被下载和审查。
glycated hemoglobin also was measured at randomization and after 13 and 26 weeks at a central laboratory at the University of Minnesota Advanced Research and Diagnostic Laboratory .,随机测量血红蛋白糖化物，并在明尼苏达大学高级研究和诊断实验室的13周和26周后进行测量。
reporting of adverse events was solicited throughout the trial .,"Adverse event reporting was solicited throughout the trial.

中文：
在整个试验期间都在征求不良事件报告。"
"reportable adverse events included serious adverse events , adverse events occurring in association with a trial device or procedure , severe hypoglycemia ( defined as hypoglycemia leading to the need for assistance because of altered consciousness ) , diabetic ketoacidosis as defined by the Diabetes Control and Complications Trial , 11 or hyperglycemia with ketonemia for which a health care provider was contacted .",报告的不良事件包括严重的不良事件、与试验设备或程序相关联的不良事件、严重低血糖（定义为低血糖导致需要更改意识状态的帮助）、糖尿病并发症控制与临床试验中确定的糖尿病酮症酸中毒11或酮症高血糖且联系了医疗保健提供者。
"the primary outcome was the percentage of time that the glucose level , as measured by the continuous glucose monitor , was in the target range of 70 to 180 mg per deciliter ( 3.9 to 10.0 mmol per liter ) .",研究的主要结果是连续血糖监测器测得的血糖水平在70-180毫克/分升（3.9-10.0毫摩尔/升）目标范围内所占的时间比例。
"the main secondary outcomes , which were tested in a hierarchical fashion to maintain a type I error rate of 5 % , were the percentage of time that the glucose level was greater than 180 mg per deciliter , the mean glucose concentration , the glycated hemoglobin level at 26 weeks , the percentage of time that the glucose level was less than 70 mg per deciliter , and the percentage of time that the glucose level was less than 54 mg per deciliter ( 3.0 mmol per liter ) .",主要次要结果在分层测试中以5%的Type I误差率为标准进行测试，包括葡萄糖水平大于180毫克/分升（10克）的时间百分比、平均葡萄糖浓度、糖化血红蛋白水平26周、葡萄糖水平小于70毫克/分升（10克）的时间百分比和葡萄糖水平小于54毫克/分升（10克）的时间百分比（3.0毫克/升）。
"additional secondary outcomes , for which the type I error was controlled with the use of the false discovery rate , are listed in the statistical analysis plan .",附加的次要结果，其中类型I错误使用假发现率进行了控制，列在统计分析计划中。
"safety outcomes included the frequency of severe hypoglycemia , diabetic ketoacidosis , and other serious adverse events .",安全结果包括严重低血糖、糖尿病酮症酸中毒和其他严重不良事件的发生频率。
modification of the treatment effect according to baseline variables was assessed by including an interaction term in the models described above .,在上述模型中加入交互作用项以评估基线变量对治疗效果的修正作用。
the analyses of the data at 13 weeks paralleled those of the data at 26 weeks .,数据的13周分析与数据的26周分析相似。
"descriptive statistics include means with standard deviations and medians with interquartile ranges , depending on the distribution of data .",统计学描述包括有标准差的平均值和有四分位数范围的中位数，这取决于数据的分布。
"analyses were performed with SAS software , version 9.4 ( SAS Institute ) .","analyses were performed with SAS software, version 9.4 (SAS Institute).

中文：

使用SAS软件，版本9.4（SAS Institute）进行了分析。"
