,English,Chinese,Reference,BLEU,Dictionary Accuracy
427,no crossover between treatment groups was permitted .,['治疗小组之间没有交叉。'],本 试验 不 允许 在 各 治疗 组 之间 进行 交叉 .,0.09776764107507602,1.0
428,complete remission with full or partial hematologic recovery was evaluated in an interim analysis in the gilteritinib group only and was summarized in the final analysis for both treatment groups .,"['完全或部分血液恢复的复发仅在吉尔特里蒂尼布群体中进行临时分析,并在两组治疗的最终分析中总结。']","在 期中 分析 时 , 我们 仅 在 gilteritinib 组中 评价 了 伴有 完全 或 部分 血液学 恢复 的 完全缓解 , 并 在 最终 分析 中 对 两个 治疗 组 进行 了 总结 .",0.21319539603794035,0.8518518518518519
429,best response was noted at any postbaseline visit .,['最好的答案在任何邮政访问中都被注意到。'],我们 记录 了 基线 后 访视 中 的 最佳 应答 .,0.09028321720532553,0.25
430,"treatment response was assessed with the use of modified International Working Group criteria ( Table S1 in the Supplementary Appendix , available at NEJM.org ) .31","['处理答案通过修改的国际工作组标准进行评估(附件中的表 S1,可在NEJM.org上找到)。']","我们 根据 修订版 国际 工作组 标准 ( modified International Working Group criteria , 补充 附录 表 S1 , 补充 附录 可 在 NEJM . org 获取 ) 评估 了 治疗 应答 情况 31 .",0.25262381231707987,0.7129629629629629
431,minimal residual disease was not assessed .,['最低残留性疾病未被评估。'],未 评估 微小 残留 病变 .,0.1146763992246961,0.6666666666666666
432,"safety was assessed by evaluating the incidence of adverse events , including evaluation of vital signs , and results from clinical laboratory tests , electrocardiograms , and ophthalmologic examinations .","['安全性通过评估不良事件的发病率,包括对重要迹象的评估,以及临床实验室测试、电心图和眼科检查的结果进行评估。']","我们 通过 评价 不良 事件 发生率 的 方式 评估 了 安全性 , 包括 评价 生命 体征 , 临床 实验室 检查 , 心电图 和 眼科 检查 结果 .",0.17141259040868734,0.6742424242424243
433,expression of AXL ( a receptor tyrosine kinase associated with drug resistance ) was analyzed by means of flow cytometry .,['AXL(受体甲状腺基纳斯与药物抵抗性相关)的表达通过流量细胞测量进行分析。'],利用 流式细胞 术 分析 了 AXL ( 一种 与 耐药性 相关 的 受体 酪氨酸 激酶 ) 表达 情况 .,0.13232449111430652,0.5619047619047619
434,the first planned interim analysis - to evaluate the primary end point of the percentage of patients who had complete remission with full or partial hematologic recovery - occurred when approximately 141 patients in the gilteritinib group reached the time point of at least 112 days ( four treatment cycles ) after the receipt of first dose or after randomization ; the interim evaluation of complete remission with full or partial hematologic recovery rate had no effect on trial conduct .,"['第一次计划的临时分析 - 以评估患有全血病恢复或部分血病恢复的患者的百分比的初端终点 - 发生时,约有141患者在吉尔特里蒂尼布群体达到至少112天的时间点(四个治疗周期)接收第一次剂量或随机化后;临时评估全血病恢复率或部分血病恢复率没有影响试验行为。']","在 gilteritinib 组约 141 例 患者 达到 首剂 治疗 或 随机 分组 后 至少 112 日 ( 4 个 治疗 周期 ) 这 一时间 点时 , 我们 进行 了 第一次 计划 的 期中 分析 , 分析 中 评价 了 主要 终点 ( 伴有 完全 或 部分 血液学 恢复 的 完全缓解 的 患者 百分比 ) ; 对 伴有 完全 或 部分 血液学 恢复 的 完全缓解 所 做 的 期中 评估 不 影响 试验 实施 .",0.16449719753853229,0.6979166666666669
435,the planned final analysis was performed when approximately 258 deaths had occurred .,['计划的最终分析是在大约258人死亡时进行的。'],"发生 约 258 例 死亡 后 , 我们 进行 了 计划 的 最终 分析 .",0.22937864081324058,0.5
436,the statistical analysis plan excluded provisions for multiplicity correction in the evaluation of secondary and other outcomes .,['统计分析计划排除在二级和其他结果的评估中对多样性纠正的规定。'],"在 评价 次要 结局 和 其他 结局 时 , 统计学 分析 计划 未 进行 多重性 校正 .",0.11097753046198143,0.7333333333333333
437,these results are reported as point estimates and 95 % confidence intervals without adjustment for multiplicity and should not be used to infer definitive treatment effects .,"['这些结果被报告为点估计和95%的信任间隔,没有对多样性进行调整,并且不应用于确定最终的治疗效果。']","报告 的 这些 结果 为点 估计值 和 未 进行 多重性 校正 的 95% 置信区间 , 不应 将 其 用于 推断 明确 疗效 .",0.11979661621288082,0.6666666666666666
438,"from October 20 , 2015 , to February 20 , 2018 , a total of 625 patients entered screening .","['从2015年10月20日至2018年2月20日,共有625名患者接受了筛查。']","从 2015 年 10 月 至 2018 年 2 月 20 日 , 共有 625 例 患者 接受 了 筛选 .",0.5803781102189709,0.5
439,"the event cutoff of 258 deaths , which triggered the final analysis , occurred on September 17 , 2018 ; the database was locked on October 19 , 2018 .",['最终分析引发的258起死亡事件发生于2018年9月17日;数据库于2018年10月19日关闭。'],"2018 年 9 月 17 日 , 本 试验 达到 258 例 死亡 这一 事件 数量 截止 值 , 因而 启动 最终 分析 ; 数据库 于 2018 年 10 月 19 日 锁定 .",0.4801012559815247,0.5
440,a total of 371 eligible patients underwent randomization ; 247 were assigned to the gilteritinib group and 124 to the chemotherapy group ( Figure 1 and Table 1 ) .,"['总共有371名合格的患者遭到随机化;247人被分配给吉尔特里蒂尼布组,124人被分配给化疗组(图1和图1)。']","共有 371 例 符合条件 的 患者 被 随机 分组 ; 247 例 被 分配 至 gilteritinib 组 , 124 例 被 分配 至 化疗 组 ( 图 1 和表 1 ) .",0.25407211387519957,0.875
441,"overall , 60.6 % of the patients had relapsed AML ( median duration of first remission , 6.0 months ; range , 0.3 to 60.0 ) , and 39.4 % had primary refractory disease .","['总体而言,60.6 %的患者患有AML(第一次放松的平均寿命为6.0 个月;范围为 0.3 至 60.0),而39.4 %的患者患有初级放松性疾病。']","60.6% 的 患者 患 复发性 AML ( 首次 缓解 的 中位 持续时间 , 6.0 个 月 ; 范围 , 0.3 ~ 60.0 ) , 39.4% 患 原发性 难治性 AML .",0.23203174616192968,0.6086309523809523
442,most patients ( 83.8 % ) had received previous induction therapy with anthracyclines but not FLT3 inhibitors ( 87.6 % ) ; 21 patients ( 5.7 % ) had received the FLT3 inhibitor midostaurin .,"['大多数患者(83.8%)接受了先前的引导治疗,但不使用FLT3抑制剂(87.6%);21患者(5.7%)接受了FLT3抑制剂Midostaurine。']","大多数 患者 ( 83.8% ) 既往 接受 过 蒽环类 药物 诱导 治疗 , 但 未 接受 过 FLT3 抑制剂 治疗 ( 87.6% ) ; 21 例 患者 ( 5.7% ) 接受 过 FLT3 抑制剂 米哚 妥林 治疗 .",0.4114882264439732,0.9166666666666666
443,"the median number of cycles of gilteritinib therapy received was 5 ( range , 1 to 33 ) .","['接受吉尔特里蒂尼布治疗的平均周期数量为5(范围,1至33)。']","gilteritinib 治疗 的 中位 周期 数为 5 ( 范围 , 1 ~ 33 ) .",0.29579593139256494,0.8888888888888888
444,"at the time of this analysis , 110 patients remained alive and 38 were continuing therapy with gilteritinib .","['在此分析时,110名患者仍然活着,38人继续接受吉尔特里蒂尼布治疗。']","进行 此项 分析 时 , 110 例 患者 仍 存活 , 38 例 仍 继续 接受 gilteritinib 治疗 .",0.22840682279594782,1.0
445,"common reasons for the discontinuation of gilteritinib were relapse , progression , or lack of efficacy ( 50.2 % ) , death ( 14.6 % ) , and adverse events ( 11.3 % ) .","['停止使用Gilteritinib的常见原因是衰退、进展或缺乏有效性(50.2 %),死亡(14.6 %)和副作用(11.3 %)。']","停止 gilteritinib 治疗 的 常见 原因 包括 复发 , 疾病 进展 或 缺乏 疗效 ( 50.2% ) , 死亡 ( 14.6% ) 和 不良 事件 ( 11.3% ) .",0.23865332765954306,0.7285714285714285
446,"common reasons for the discontinuation of chemotherapy were relapse , progression , or lack of efficacy ( 39.5 % ) , withdrawal by the patient ( 8.1 % ) , physician decision ( 8.9 % ) , and death ( 8.1 % ) .",['停止化疗的常见原因是逆转、进展或缺乏有效性(39.5%)、患者退出(8.1%)、医生的决定(8.9%)和死亡(8.1%)。'],"停止 化疗 的 常见 原因 包括 复发 , 疾病 进展 或 缺乏 疗效 ( 39.5% ) , 患者 退出 ( 8.1% ) , 医师 决定 ( 8.9% ) 和 死亡 ( 8.1% ) .",0.5392207193657529,0.8333333333333335
447,the percentages of patients who were alive at 1 year were 37.1 % in the gilteritinib group and 16.7 % in the chemotherapy group .,['1年生存的患者比例为吉尔特里蒂尼布群体的37.1%和化疗群体的16.7%。'],"在 gilteritinib 组和 化疗 组中 , 1 年时 存活 的 患者 百分比 分别 为 37.1% 和 16.7% .",0.15744143732915775,1.0
448,"among patients with primary refractory AML , the median overall survival was 10.4 months in the gilteritinib group and 6.9 months in the chemotherapy group ( hazard ratio for death , 0.99 ; 95 % CI , 0.63 to 1.55 ) ( Table S3 ) .","['在患有初级分裂性AML的患者中,平均生存时间在吉尔特里蒂尼布群体中为10.4个月,化疗群体中为6.9个月(死亡风险比例为0.99;95%的CI,0.63至1.55)。']","在 原发性 难治性 AML 患者 中 , gilteritinib 组和 化疗 组 的 中位 总 生存期 分别 为 10.4 个 月 和 6.9 个 月 ( 死亡 的 风险 比 , 0.99 ; 95% CI , 0.63 ~ 1.55 ) ( 表 S3 ) .",0.282288421204941,0.6303030303030303
449,"the percentage of patients who had complete remission with full or partial hematologic recovery was 34.0 % in the gilteritinib group and 15.3 % in the chemotherapy group ( risk difference , 18.6 percentage points ; 95 % CI , 9.8 to 27.4 ) ; the percentages of patients with complete remission were 21.1 % and 10.5 % , respectively ( risk difference , 10.6 percentage points ; 95 % CI , 2.8 to 18.4 ) ( Table 2 ) .","['患有完全或部分血液康复的患者的百分比在吉尔特里蒂尼布群体中为34.0%,在化疗群体中为15.3%(风险差异、18.6个百分点、95%的CI、9.8到27.4);患有完全康复的患者的百分比为21.1%和10.5%(风险差异、10.6个百分点、95%的CI、2.8到18.4)。']","在 gilteritinib 组和 化疗 组中 , 伴有 完全 或 部分 血液学 恢复 的 完全缓解 的 患者 百分比 分别 为 34.0% 和 15.3% ( 风险 差异 , 18.6 个 百分点 ; 95% CI , 9.8 ~ 27.4 ) ; 完全缓解 的 患者 百分比 分别 为 21.1% 和 10.5% ( 风险 差异 , 10.6 个 百分点 ; 95% CI , 2.8 ~ 18.4 ) ( 表 2 ) .",0.3039576722069783,0.7333333333333333
450,the median duration of complete remission with full or partial hematologic recovery was 11.0 months in the gilteritinib group but could not be evaluated in the chemotherapy group because of censoring .,"['在吉尔特里蒂尼布群体中,完全或部分血液恢复的中间期为11.0个月,但由于审查而无法在化疗群体中进行评估。']","在 gilteritinib 组中 , 伴有 完全 或 部分 血液学 恢复 的 完全缓解 的 中位 持续时间 为 11.0 个 月 , 但 化疗 组 由于 数据 删失 的 原因 , 这一 指标 无法 评价 .",0.2507084204054,0.7619047619047619
451,the percentages of patients who had remission after an increase in the dose of gilteritinib ( 78 patients ) or a decrease in the dose ( 58 patients ) are shown in Table S5 .,['在增加吉尔特里蒂尼布剂量(78名患者)或减少剂量(58名患者)后患有复发的患者的百分比显示在表S5中。'],gilteritinib 剂量 增加 ( 78 例 患者 ) 或 剂量 降低 ( 58 例 患者 ) 后 缓解 的 患者 百分比 见表 S5 .,0.17790176326537266,0.7
452,"when we excluded remissions that occurred after transplantation during the trial , the percentage of patients who had complete remission with full or partial hematologic recovery was 26.3 % in the gilteritinib group and 15.3 % in the chemotherapy group ( risk difference , 10.9 percentage points ; 95 % CI , 2.4 to 19.5 ) .","['当我们排除在试验期间移植后发生的移植时,患有完全或部分血液恢复的患者的百分比为吉尔特里蒂尼布群体的 26.3% 和化疗群体的 15.3% (风险差异, 10.9 个百分点 ; 95 % CI, 2.4 到 19.5 ) 。']","如果 将 试验 期间 接受 移植 后 出现 的 缓解 排除 , 则 在 gilteritinib 组和 化疗 组中 , 伴有 完全 或 部分 血液学 恢复 的 患者 百分比 分别 为 26.3% 和 15.3% ( 风险 差异 , 10.9 个 百分点 ; 95% CI , 2.4 ~ 19.5 ) .",0.350814603906569,0.8119047619047618
453,"among patients with primary refractory AML , the percentage of patients who had complete remission with full or partial hematologic recovery was 32 % ( 31 of 98 patients ) in the gilteritinib group and 21 % ( 10 of 48 patients ) in the chemotherapy group ( Table S3 ) .","['在患有初级分裂性AML的患者中,患有完全或部分血液康复的患者的百分比为32%(98人中31人)在吉尔特里蒂尼布群体和21%(48人中10人)在化疗群体(S3表)。']","在 原发性 难治性 AML 患者 中 , 在 gilteritinib 组和 化疗 组中 , 伴有 完全 或 部分 血液学 恢复 的 完全缓解 的 患者 百分比 分别 为 32% ( 31 / 98 例 患者 ) 和 21% ( 10 / 48 例 患者 ) ( 表 S3 ) .",0.2131788728615203,0.717948717948718
454,the percentages of patients with a remission according to chemotherapy intensity and receipt or nonreceipt of previous transplantation are presented in Table S4 .,['根据化疗强度和接收或未接收前移植的患者的百分比在表 S4 中显示。'],根据 化疗 强度 和 既往 接受 移植 情况 列出 的 缓解 患者 百分比 见表 S4 .,0.19872647405807126,0.6258503401360543
455,"among patients with FLT3 ITD mutations who had been randomly assigned to the gilteritinib group , 20.5 % had a complete remission ; among those who had been randomly assigned to chemotherapy , 9.7 % had a complete remission ( Table S6 ) .","['在患有 FLT3 ITD 突变的患者中,有 20.5 % 随机分配给 gilteritinib 组,有完整的复发;在随机分配给化疗的患者中,有 9.7 % 有完整的复发(表 S6 )。']","在 被 随机 分配 至 gilteritinib 组 的 FLT3 ITD 突变 患者 中 , 20.5% 达到 完全缓解 ; 在 被 随机 分配 至 化疗 组 的 FLT3 ITD 突变 患者 中 , 9.7% 达到 完全缓解 ( 表 S6 ) .",0.24027458340610242,0.8
456,"although the percentages of patients with complete remission were similar across the treatment groups among patients with FLT3 TKD mutations , gilteritinib therapy resulted in similar percentages of complete remission among patients with FLT3 TKD mutations alone ( 19.0 % ) and among those with FLT3 ITD mutations alone ( 20.5 % ) ( Table S6 ) .","['虽然患有FLT3 TKD突变的患者的百分比在治疗群体中是相似的,但Gilteritinib治疗导致FLT3 TKD突变的患者(仅19.0%)和FLT3 ITD突变的患者(仅20,5%)的完全突变的百分比相似。']","虽然 在 FLT3 TKD 突变 患者 中 , 各 治疗 组 达到 完全缓解 的 患者 百分比 相似 , 但 在 仅 有 FLT3 TKD 突变 的 患者 ( 19.0% ) 和 在 仅 有 FLT3 ITD 突变 的 患者 中 ( 20.5% ) , gilteritinib 治疗 后 达到 完全缓解 的 患者 百分比 相似 ( 表 S6 ) .",0.30571019652156534,0.4722222222222222
457,"among patients treated with gilteritinib , the median overall survival was similar among those with FLT3 ITD mutations alone ( 9.3 months ) and those with FLT3 TKD mutations alone ( 8.0 months ) .","['在接受吉尔特里蒂尼布治疗的患者中,平均生存率相当于只有FLT3 ITD突变(9.3个月)和只有FLT3 TKD突变(8.0个月)的患者中。']","在 接受 gilteritinib 治疗 的 患者 中 , 仅 有 FLT3 ITD 突变 的 患者 ( 9.3 个 月 ) 和 仅 有 FLT3 TKD 突变 的 患者 ( 8.0 个 月 ) 的 中位 总 生存期 相似 .",0.49103083418519206,0.4666666666666666
458,"similar results were observed regarding adverse events that occurred during the first 30 days of treatment , except for elevations of the liver aminotransferase levels . ( details are provided in Tables S7 and S8 . )","['相似的结果被观察到发生在治疗的前30天内发生的副作用,除了肝脏氨基转移素水平的上升(详细信息显示在表 S7 和 S8 。']","除了 肝脏 转氨酶 水平 升高 之外 , 两组 中 治疗 开始 后 30 日内 的 不良 事件 结果 相似 ( 详细信息 见表 S7 和 S8 ) .",0.15141628530580561,0.680952380952381
459,"common adverse events of grade 3 or higher in the gilteritinib group were febrile neutropenia ( 45.9 % ) , anemia ( 40.7 % ) , and thrombocytopenia ( 22.8 % ) ( Table 3 and Table S9 ) ; these were also the most common adverse events of grade 3 or higher that were considered by the investigators to be related to gilteritinib therapy ( Table S10 ) .",['在Gilteritinib群体中3级或更高的常见副作用是发烧性中风(45.9%)、贫血(40.7%)和血管细胞(22.8%);这些也是研究人员认为与Gilteritinib治疗相关的3级或更高的常见副作用(S10)。'],"在 gilteritinib 组中 , 常见 的 3 级 或 更 高级别 不良 事件 包括 发热 性 中性 粒细胞 减少 ( 45.9% ) , 贫血 ( 40.7% ) 和 血小板 减少 ( 22.8% ) ( 表 3 和表 S9 ) ; 这些 也 是 研究者 认为 与 gilteritinib 治疗 相关 的 最 常见 3 级 或 更 高级别 不良 事件 ( 表 S10 ) .",0.344693811996213,0.5781746031746032
460,adverse events of grade 3 or higher that occurred during the first 30 days of treatment are presented in Table S8 .,"['在治疗前30天发生的3级或更高类别的副作用,如表 S8所示。']",治疗 开始 后 30 日内 的 3 级 或 更 高级别 不良 事件 见表 S8 .,0.24632933558149842,0.5555555555555555
461,dose reductions occurred in 6 patients who had a mean change from the baseline QTcF interval of more than 60 msec .,"['剂量减少发生在6名患者中,从基线QTcF间隔超过60 msec的平均变化。']","在 QTcF 间期 相对 于 基线 的 平均 变化 超过 60 ms 的 患者 中 , 有 6 例 降低 了 药物 剂量 .",0.2215803780675667,1.0
462,"there were 251 deaths in the safety population of 355 patients , including 170 deaths among 246 patients ( 69.1 % ) in the gilteritinib group and 81 deaths among 109 patients ( 74.3 % ) in the chemotherapy group .","['在355名患者的安全人口中,有251人死亡,其中有246名患者(69.1%)在吉尔特里丁群中死亡,109名患者(74.3%)在化疗群中死亡81人死亡。']","安全性 人群 355 例 患者 中有 251 例 死亡 , 包括 gilteritinib 组 246 例 患者 中 的 170 例 死亡 ( 69.1% ) 和 化疗 组 109 例 患者 中 的 81 例 死亡 ( 74.3% ) .",0.16987876675740463,1.0
463,"we found that in this population of patients , gilteritinib resulted in superior overall survival and percentages of remission as compared with salvage chemotherapy .","['我们发现,在这种患者群体中,吉尔特里蒂尼布产生了比救生化疗更高的总生存率和放松率。']","我们 发现 , 这一 患者 人群 接受 gilteritinib 治疗 后 的 总 生存期 和 缓解 率 高于 挽救 性 化疗 .",0.1486608341577982,0.611111111111111
464,the present trial enrolled patients with FLT3 ITD or FLT3 TKD mutations .,['目前的研究记录了患有 FLT3 ITD 或 FLT3 TKD 突变的患者。'],本文 中 的 试验 纳入 了 FLT3 ITD 或 FLT3 TKD 突变 患者 .,0.36334512504100824,0.0
465,"although FLT3 TKD mutations are uncommon at disease recurrence , they consistently and rapidly emerge during FLT3 inhibitor therapy to confer secondary resistance.22,34","['虽然 FLT3 TKD 突变在疾病重复情况下是异常的,但它们在 FLT3 抑制剂治疗期间连续迅速出现,以提供二次抵抗性。']","虽然 FLT3 TKD 突变 在 疾病 复发 时 不 常见 , 但 在 FLT3 抑制剂 治疗 期间 不断 快速 出现 , 并 导致 继发性 耐药 22 , 34 .",0.35974008499293525,0.7777777777777777
466,gilteritinib had clinical activity in all studied FLT3 mutation types .,['吉尔特里蒂尼布在所有研究的FLT3突变类型中都具有临床活动。'],Gilteritinib 对 研究 的 所有 FLT3 突变 类型 均 有 临床 活性 .,0.17903285771068644,1.0
467,"not only were the percentages of patients with complete remission similar in the FLT3 TKD and ITD cohorts , but the median overall survival in these two cohorts was also similar .","['不仅患者的百分比在FLT3 TKD和ITD组中完全放松相似,但这两个组中平均总生存也相似。']","在 FLT3 TKD 和 ITD 队列 中 , 不仅 达到 完全缓解 的 患者 百分比 相似 , 而且 两个 队列 的 中位 总 生存期 也 相似 .",0.27147762785304036,0.65625
468,"overall , gilteritinib showed a consistent survival benefit across many subgroups .","['总体而言,Gilteritinib在许多子群中表现出一致的生存好处。']","总体而言 , gilteritinib 在 许多 亚组 中 表现 出 一致 的 生存 获益 .",0.4139658262298822,0.3333333333333333
469,"although gilteritinib therapy resulted in 63 patients being able to undergo transplantation , the contribution of the transplantation to the survival benefit from gilteritinib is difficult to assess .","['虽然Gilteritinib治疗导致63名患者能够接受移植,但移植对Gilteritinib的生存益的贡献很难评估。']","虽然 gilteritinib 治疗 使 63 例 患者 能够 接受 移植 , 但 我们 难以 评估 在 gilteritinib 带来 的 生存 获益 中 , 移植 所 做出 的 贡献 .",0.30086049431195133,0.7857142857142857
470,the main toxic effect was myelosuppression .,['主要的毒性效应是神经抑郁症。'],主要 毒性 作用 是 骨髓 抑制 .,0.11072511043876337,1.0
471,a small signal regarding hepatic toxic effects bears attention in future studies .,['关于肝脏毒性影响的小信号在未来的研究中引起了注意。'],关于 肝脏 毒性 作用 的 微小 信号 需要 在 将来 的 研究 中 予以 关注 .,0.2163770754386084,1.0
472,"the primary outcome was the percentage of time that the blood glucose level was within the target range of 70 to 180 mg per deciliter ( 3.9 to 10.0 mmol per liter ) , as measured by continuous glucose monitoring .","['主要结果是血糖水平在目标范围内达到70至180毫克(每升3.9至10.0毫米)的时间比例,根据持续的血糖监测测测量。']","主要 结局 是 根据 血糖 连续 监测 结果 , 血糖 水平 在 70 ~ 180 mg / dL ( 3.9 ~ 10.0 mmol / L ) 目标 范围 内 的 时间 百分比 .",0.19474782316796516,0.8696969696969696
473,"the age range of the patients was 14 to 71 years , and the glycated hemoglobin level ranged from 5.4 to 10.6 % .","['患者的年龄范围为14至71岁,血糖血糖水平为5.4%至10.6%。']","患者 年龄 范围 是 14 ~ 71 岁 , 糖化 血红蛋白 水平 为 5.4% ~ 10.6% .",0.22384819356501456,0.75
474,all 168 patients completed the trial .,['所有168名患者完成了试验。'],全部 168 例 患者 均 完成 了 本 试验 .,0.15519827435533293,0.5
475,"the mean adjusted difference in glycated hemoglobin level after 6 months was − 0.33 percentage points ( 95 % CI , − 0.53 to − 0.13 ; P = 0.001 ) .","['6个月后,血糖血糖水平的平均调整差异为 − 0.33 个百分点(95 % CI, − 0.53 到 − 0.13 ; P = 0.001 )。']","6 个 月 后 糖化 血红蛋白 水平 的 平均 校正 差异 为 - 0.33 个 百分点 ( 95% CI , - 0.53 ~ - 0.13 ; P = 0.001 ) .",0.3911678959363837,0.5027777777777778
476,"despite advances in care , attaining good glycemic outcomes in patients with type 1 diabetes remains challenging ; the targets set by the American Diabetes Association are met in only a minority of patients.1,2","['尽管在护理方面取得了进展,但在患有1型糖尿病的患者中取得良好的血糖结果仍然具有挑战性;美国糖尿病协会设定的目标仅在少数患者中实现。']","虽然 1 型 糖尿病 的 治疗 取得 了 进展 , 但 患者 仍 难以达到 良好 的 血糖 结局 ; 只有 少数 患者 达到 美国 糖尿病 学会 ( American Diabetes Association ) 设定 的 目标 1 , 2 .",0.29347376817344845,0.5641025641025641
477,an investigational device exemption was approved by the Food and Drug Administration .,['调查设备豁免已由食品和药物管理局批准。'],美国 食品药品 管理局 批准 了 器械 临床 研究 豁免 ( investigational device exemption ) .,0.1200694044768547,0.7592592592592592
478,an independent data and safety monitoring board provided trial oversight .,['一个独立的数据和安全监测委员会提供审查监督。'],独立 的 数据 和 安全 监察 委员会 负责 监督 本 试验 .,0.33047952721854995,0.75
479,an independent data and safety monitoring board provided trial oversight .,['一个独立的数据和安全监测委员会提供审查监督。'],一个 独立 的 数据 和 安全 监察 委员会 监督 了 本 试验 .,0.4113874545444234,0.75
480,"the first , second , and last authors vouch for the completeness and accuracy of the data and for the fidelity of the trial to the protocol .",['第一、第二、最后的作者对数据的完整性和准确性以及审判对议定书的忠诚性表示赞扬。'],"第一 作者 , 第二 作者 和 最后 一名 作者 对 数据 的 完整性 和 准确性 负责 , 并 保证 试验 对 方案 的 忠实度 .",0.33174540159704763,0.8333333333333333
481,funding was provided by the National Institute of Diabetes and Digestive and Kidney Diseases .,['该基金由国家糖尿病和消化和肾脏疾病研究所提供。'],"美国 国立 糖尿病 , 消化系统 疾病 和 肾脏 疾病 研究所 提供 了 资助 .",0.30476093851135505,0.9166666666666666
482,"tandem Diabetes Care reviewed the manuscript but was not otherwise involved in the trial design , conduct , data analysis , or manuscript preparation .","['tandem Diabetes Care 审查了手稿,但没有其他参与试验设计、行为、数据分析或手稿编制。']","Tandem Diabetes Care 审阅 了 文稿 , 但 未 参与 试验 设计 , 实施 , 数据分析 或 文稿 撰写 .",0.18364875230996394,0.5448717948717949
483,"to be included in the trial , patients had to be at least 14 years old and have a clinical diagnosis of type 1 diabetes ; they also had to have been treated with insulin for at least 1 year by means of a pump or multiple daily injections , without a restriction on the glycated hemoglobin level ( complete eligibility criteria are described in Table S1 in the Supplementary Appendix , available at NEJM.org ) .","['要参与试验,患者必须至少14岁,并具有1型糖尿病的临床诊断;他们也必须用胰岛素治疗至少1年,通过泵或多次每日注射,没有对血糖血糖水平的限制(完整的可选性标准如表S1所描述的补充附件,可在NEJM.org上找到)。']","患者 纳入 条件 如下 : 年龄 至少 14 岁 , 临床 诊断 为 1 型 糖尿病 ; 已 通过 胰岛素泵 或 每日 多次 注射 的 方式 接受 胰岛素 治疗 至少 1 年 , 本 试验 未 对 糖化 血红蛋白 水平 提出 限制 ( 完整 的 纳入 标准 见 补充 附录 表 S1 , 补充 附录 可 在 NEJM . org 获取 ) .",0.3175475638210834,0.7280701754385965
484,patients in the control group received a continuous glucose monitor ; patients who had used a pump before participating in the trial used their personal pumps .,['控制组的患者接受了持续的葡萄糖监测;在参加试验之前使用泵的患者使用了自己的个人泵。'],我们 向 对照组 患者 提供 了 血糖 连续 监测仪 ; 参与 本 试验 之前 已经 在 使用 胰岛素泵 的 患者 继续 使用 自己 的 胰岛素泵 .,0.14867966637737895,0.7142857142857143
485,data from the devices were downloaded and reviewed at each visit and during telephone contacts .,['设备上的数据在每次访问和电话接触时都被下载和审查。'],我们 在 每次 访视 和 电话 联系 时 下载 器械 数据 并 进行 审核 .,0.13950144632337735,0.6666666666666666
486,glycated hemoglobin also was measured at randomization and after 13 and 26 weeks at a central laboratory at the University of Minnesota Advanced Research and Diagnostic Laboratory .,['血糖血糖也被测量在随机化和13和26周后在密内索塔大学先进研究和诊断实验室的中央实验室。'],"随机化 时 以及 13 和 26 周后 , 位于 明尼苏达 大学 的 中央 实验室 ( 高级 研究 和 诊断 实验室 [ Advanced Research and Diagnostic Laboratory ] ) 也 对 糖化 血红蛋白 进行 了 测定 .",0.23350157099122512,0.8333333333333334
487,reporting of adverse events was solicited throughout the trial .,"['在审判期间,被要求报告不良事件。']",我们 整个 试验 期间 主动 收集 不良 事件报告 .,0.0952891967040874,0.5
488,"reportable adverse events included serious adverse events , adverse events occurring in association with a trial device or procedure , severe hypoglycemia ( defined as hypoglycemia leading to the need for assistance because of altered consciousness ) , diabetic ketoacidosis as defined by the Diabetes Control and Complications Trial , 11 or hyperglycemia with ketonemia for which a health care provider was contacted .","['报告可能的不良事件包括严重的不良事件,与测试设备或程序相结合发生的不良事件,严重的低血糖(定义为由于意识变化的帮助需要导致的低血糖),糖尿病细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞细胞']","可 报告 的 不良 事件 包括 严重 不良 事件 , 与 试验 器械 或 操作 相关 的 不良 事件 , 重度 低血糖 ( 定义 为 由于 意识 改变 而 需要 接受 帮助 的 低血糖 ) , 糖尿病 酮症 酸中毒 ( 根据 糖尿病 控制 和 并发症 试验 [ Diabetes Control and Complications Trial ] 的 定义 ) 11 , 或者 需要 与 医务人员 联络 的 高血糖 合并 酮 血症 .",0.2625828270013482,0.6583333333333332
489,"the primary outcome was the percentage of time that the glucose level , as measured by the continuous glucose monitor , was in the target range of 70 to 180 mg per deciliter ( 3.9 to 10.0 mmol per liter ) .","['主要结果是糖水平在持续的糖监测器测量的时间比例,在每分升70至180毫克(每升3.9至10.0毫莫尔)的目标范围内。']","主要 结局 是 根据 血糖 连续 监测仪 的 测定 结果 , 血糖 水平 在 70 ~ 180 mg / dL ( 3.9 ~ 10.0 mmol / L ) 目标 范围 内 的 时间 百分比 .",0.16509698578680984,0.8272727272727273
