,Unnamed: 0_x,English,Chinese_Google,Dict_Acc_Google,Terms_Google,Correct_Terms_Google,Unnamed: 0_y,Chinese_M2M,Dict_Acc_M2M,Terms_M2M,Correct_Terms_M2M,Unnamed: 0,Chinese_GPT,Dict_Acc_GPT,Terms_GPT,Correct_Terms_GPT,Human Eval Google,Human Eval M2M,Human Eval Medical M2M,Human Eval GPT
527,524,"ischemic events were similar between groups , including a composite endpoint of death , nonfatal myocardial infarction , and nonfatal stroke ( 4 % in both ) .",各组间的缺血事件相似，包括死亡、非致死性心肌梗塞和非致死性中风的复合终点（均为 4%）。,0.3333333333333333,"['myocardial infarction', 'composite', 'stroke', 'death', '4', 'endpoint', 'and', 'ischemic', 'similar']","['myocardial infarction', 'stroke', 'death']",524,"['伊斯基米事件类似于群体之间,包括复合死亡点、非致命心脏病发作和非致命中风(两者中有4%)。']",0.2222222222222222,"['myocardial infarction', 'composite', 'stroke', 'death', '4', 'endpoint', 'and', 'ischemic', 'similar']","['stroke', 'death']",524,"Ischemic events were similar between groups, including a composite endpoint of death, nonfatal myocardial infarction, and nonfatal stroke (4% in both).

Chinese:
缺血性事件在两组间相似，包括死亡、轻度心肌梗死和非致命性中风的复合终点（均为4%）。",0.3333333333333333,"['myocardial infarction', 'composite', 'stroke', 'death', '4', 'endpoint', 'and', 'ischemic', 'similar']","['myocardial infarction', 'stroke', 'death']",,,,
528,525,"stent thrombosis was nonsignificantly different between groups ( ticagrelor alone , 0.4 % ; ticagrelor plus aspirin , 0.6 % ) .",支架内血栓形成在各组之间无显着差异（单独替格瑞洛，0.4%；替格瑞洛联合阿司匹林，0.6%）。,0.6,"['aspirin', 'plus', 'thrombosis', 'stent', 'alone']","['aspirin', 'thrombosis', 'alone']",525,"['甲状腺肿瘤在群体之间毫无意义地不同(单独的ticagrelor,0.4%;ticagrelor plus aspirin,0.6%)。']",0.2,"['aspirin', 'plus', 'thrombosis', 'stent', 'alone']",['alone'],525,组间支架血栓形成差异无统计学意义（仅使用西泮，0.4%；西泮加阿司匹林，0.6%）。,0.6,"['aspirin', 'plus', 'thrombosis', 'stent', 'alone']","['aspirin', 'plus', 'thrombosis']",,,,
529,526,"in the search for ways to reduce bleeding risks without increasing ischemic events after PCI with a DES , the drug regimen of ticagrelor plus aspirin for 3 months followed by ticagrelor alone appears to be a winner .",在使用 DES 进行 PCI 后寻找降低出血风险而不增加缺血事件的方法时，替格瑞洛加阿司匹林 3 个月然后单独替格瑞洛的药物治疗方案似乎是赢家。,0.5714285714285714,"['bleeding', 'aspirin', 'reduce', 'plus', 'be', 'search', 'after', '3', 'drug', 'by', 'to', 'alone', 'without', 'ischemic']","['bleeding', 'aspirin', 'reduce', 'plus', 'be', 'after', 'drug', 'alone']",526,"['在寻找减少出血风险的途径,而不增加 PCI 后的化学事件,DES 药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充药物补充']",0.3571428571428571,"['bleeding', 'aspirin', 'reduce', 'plus', 'be', 'search', 'after', '3', 'drug', 'by', 'to', 'alone', 'without', 'ischemic']","['bleeding', 'plus', 'be', 'after', 'drug']",526,在寻找方法来降低PCI植入DES后出血风险而不增加动脉粥样硬化事件的过程中，药物方案ticagrelor加3个月的阿司匹林似乎是一个赢家。,0.5,"['bleeding', 'aspirin', 'reduce', 'plus', 'be', 'search', 'after', '3', 'drug', 'by', 'to', 'alone', 'without', 'ischemic']","['bleeding', 'aspirin', 'reduce', 'plus', 'be', 'after', 'drug']",,,,
530,527,"as the authors note , these findings differ from the GLOBAL LEADERS trial ( NEJM JW Cardiol Oct 2018 and Lancet 2018 ; 392 : 940 ) , which failed to demonstrate a bleeding benefit with early discontinuation of aspirin , possibly due to differences in patients and study design .",正如作者所指出的，这些发现不同于 GLOBAL LEADERS 试验（ NEJM JW Cardiol Oct 2018 和 Lancet 2018 ； 392 : 940 ），后者未能证明早期停用阿司匹林对出血有益，这可能是由于患者和研究设计的差异.,0.3333333333333333,"['bleeding', 'aspirin', 'lancet', 'study', 'early', 'differ', 'note', 'trial', 'benefit', 'design', 'due', 'with', 'possibly', 'to', 'and']","['bleeding', 'aspirin', 'early', 'design', 'to']",527,"['作者指出,这些发现与全球领袖试验(NEJM JW Cardiol Oct 2018 和 Lancet 2018 ; 392 : 940 )不同,由于患者和研究设计的差异可能导致早期停止使用阿司匹林的出血益处。']",0.3333333333333333,"['bleeding', 'aspirin', 'lancet', 'study', 'early', 'differ', 'note', 'trial', 'benefit', 'design', 'due', 'with', 'possibly', 'to', 'and']","['bleeding', 'aspirin', 'early', 'design', 'to']",527,"正如作者指出的，这些发现与GLOBAL LEADERS试验（NEJM JW Cardiol Oct 2018和Lancet 2018；392：940）相差很远，后者未能证明早期终止使用阿司匹林的出血效益，这可能是由于病人和研究设计的差异。

Chinese:

正如作者所指出的，这些发现与GLOBAL LEADERS试验相差甚远（NEJM JW Cardiol Oct 2018和Lancet 2018；392：940），后者未能证明早期终止使用阿司匹林的出血效益，这可能是由于病人和研究设计的差异。",0.3333333333333333,"['bleeding', 'aspirin', 'lancet', 'study', 'early', 'differ', 'note', 'trial', 'benefit', 'design', 'due', 'with', 'possibly', 'to', 'and']","['bleeding', 'aspirin', 'early', 'design', 'to']",,,,
531,528,"in contrast , approaches using clopidogrel have demonstrated benefits , but these studies were underpowered for ischemic endpoints .",相比之下，使用氯吡格雷的方法已显示出益处，但这些研究对缺血终点的效力不足。,0.2857142857142857,"['demonstrated', 'contrast', 'clopidogrel', 'have', 'in', 'but', 'ischemic']","['clopidogrel', 'but']",528,"['相比之下,使用 clopidogrel 的方法已经证明了好处,但这些研究被支持以化学终点。']",0.1428571428571428,"['demonstrated', 'contrast', 'clopidogrel', 'have', 'in', 'but', 'ischemic']",['but'],528,相比之下，使用氯吡格雷的方法已经显示出了好处，但这些研究在缺血性终点方面的力量不足。,0.2857142857142857,"['demonstrated', 'contrast', 'clopidogrel', 'have', 'in', 'but', 'ischemic']","['clopidogrel', 'but']",,,,
532,529,"further studies are needed to compare agents , timing , and different risk populations .",需要进一步的研究来比较药物、时间和不同的风险人群。,0.4,"['risk', 'compare', 'timing', 'to', 'and']","['risk', 'compare']",529,['需要进一步的研究来比较因素、时间和不同风险人口。'],0.4,"['risk', 'compare', 'timing', 'to', 'and']","['risk', 'compare']",529,"further studies are needed to compare agents , timing , and different risk populations .

Chinese:

需要进一步研究来比较不同的药物、时机以及不同风险人群。",0.4,"['risk', 'compare', 'timing', 'to', 'and']","['risk', 'compare']",,,,
533,530,"in the meantime , stopping aspirin after 3 months of dual antiplatelet therapy with ticagrelor in patients at risk for bleeding seems reasonable .",与此同时，有出血风险的患者在使用替格瑞洛进行双重抗血小板治疗 3 个月后停用阿司匹林似乎是合理的。,0.5,"['bleeding', 'aspirin', 'antiplatelet', 'therapy', 'risk', 'after', '3', 'dual', 'with', 'stopping']","['bleeding', 'aspirin', 'therapy', 'risk', 'after']",530,"['与此同时,在患有出血风险的患者中,在3个月的双重抗细胞治疗后停止阿司匹林似乎是合理的。']",0.5,"['bleeding', 'aspirin', 'antiplatelet', 'therapy', 'risk', 'after', '3', 'dual', 'with', 'stopping']","['bleeding', 'aspirin', 'therapy', 'risk', 'after']",530,在此期間，在有出血风险的患者中，在使用两种抗血小板治疗起始3个月后停止使用阿司匹林似乎是合理的。,0.6,"['bleeding', 'aspirin', 'antiplatelet', 'therapy', 'risk', 'after', '3', 'dual', 'with', 'stopping']","['bleeding', 'aspirin', 'therapy', 'risk', 'after', 'dual']",,,,
534,531,"a similar number of grade 3 or greater adverse events occurred in the cabazitaxel and abiraterone / enzalutamide groups ( 56 % and 52 % , respectively ) .",卡巴他赛组和阿比特龙/恩杂鲁胺组发生了相似数量的 3 级或更高级别的不良事件（分别为 56% 和 52%）。,0.3,"['grade', '/', 'adverse', 'number', '3', 'cabazitaxel', 'enzalutamide', 'in', 'and', 'similar']","['number', 'cabazitaxel', 'enzalutamide']",531,['类似数量的3级或更大的副作用发生在cabazitaxel 和 abiraterone / enzalutamide 群体( 56 % 和 52 % 相应 ) 。'],0.1,"['grade', '/', 'adverse', 'number', '3', 'cabazitaxel', 'enzalutamide', 'in', 'and', 'similar']",['number'],531,级别为3或更高的不良事件的发生率相似，分别为56％和52％。,0.0,"['grade', '/', 'adverse', 'number', '3', 'cabazitaxel', 'enzalutamide', 'in', 'and', 'similar']",[],,,,
535,532,patients with stable coronary artery disease and diabetes mellitus who have not had a myocardial infarction or stroke are at high risk for cardiovascular events .,没有心肌梗死或中风的稳定性冠状动脉疾病和糖尿病患者发生心血管事件的风险很高。,0.5,"['myocardial infarction', 'disease', 'cardiovascular', 'stroke', 'who', 'high risk', 'diabetes mellitus', 'with', 'coronary artery', 'at', 'have not', 'and']","['myocardial infarction', 'disease', 'cardiovascular', 'stroke', 'diabetes mellitus', 'coronary artery']",532,"['患有稳定的冠状动脉疾病和糖尿病患者,没有心脏病发作或中风,患有高心血管事件的风险。']",0.4166666666666667,"['myocardial infarction', 'disease', 'cardiovascular', 'stroke', 'who', 'high risk', 'diabetes mellitus', 'with', 'coronary artery', 'at', 'have not', 'and']","['disease', 'cardiovascular', 'stroke', 'diabetes mellitus', 'coronary artery']",532,"patients with stable coronary artery disease and diabetes mellitus who have not had a myocardial infarction or stroke are at high risk for cardiovascular events.

Chinese:
患有稳定性冠状动脉疾病和糖尿病病人若尚未心肌梗塞或中风，则风险会很高。",0.4166666666666667,"['myocardial infarction', 'disease', 'cardiovascular', 'stroke', 'who', 'high risk', 'diabetes mellitus', 'with', 'coronary artery', 'at', 'have not', 'and']","['myocardial infarction', 'disease', 'stroke', 'diabetes mellitus', 'coronary artery']",,,,
536,533,whether adding ticagrelor to aspirin improves outcomes in this population is unclear .,在阿司匹林中加入替格瑞洛是否能改善这一人群的结局尚不清楚。,0.75,"['aspirin', 'population', 'this', 'to']","['aspirin', 'population', 'this']",533,['是否添加Ticagrelor到阿司匹林改善结果在这个人口是不清楚的。'],0.75,"['aspirin', 'population', 'this', 'to']","['aspirin', 'population', 'this']",533,目前尚不清楚加入前列腺素酯酶2抑制剂到阿司匹林中是否有助于这一人群的预后。,1.0,"['aspirin', 'population', 'this', 'to']","['aspirin', 'population', 'this', 'to']",,,,
537,534,patients with previous myocardial infarction or stroke were excluded .,既往有心肌梗塞或中风的患者被排除在外。,0.5,"['myocardial infarction', 'stroke', 'previous', 'with']","['myocardial infarction', 'stroke']",534,['以前患有心脏病发作或中风的患者被排除。'],0.25,"['myocardial infarction', 'stroke', 'previous', 'with']",['stroke'],534,"Patients with previous myocardial infarction or stroke were excluded.

Chinese:

患有先前心肌梗死或中风的患者被排除在外。",0.5,"['myocardial infarction', 'stroke', 'previous', 'with']","['myocardial infarction', 'stroke']",,,,
538,535,"the primary efficacy outcome was a composite of cardiovascular death , myocardial infarction , or stroke .",主要疗效结果是心血管死亡、心肌梗死或中风的复合结果。,0.625,"['myocardial infarction', 'composite', 'cardiovascular', 'stroke', 'outcome', 'death', 'primary', 'efficacy']","['myocardial infarction', 'cardiovascular', 'stroke', 'outcome', 'death']",535,['主要效力结果是心血管死亡、心脏病发作或中风的组成。'],0.5,"['myocardial infarction', 'composite', 'cardiovascular', 'stroke', 'outcome', 'death', 'primary', 'efficacy']","['cardiovascular', 'stroke', 'outcome', 'death']",535,主要疗效结果是心血管死亡、心肌梗死或中风的组合。,0.625,"['myocardial infarction', 'composite', 'cardiovascular', 'stroke', 'outcome', 'death', 'primary', 'efficacy']","['myocardial infarction', 'cardiovascular', 'stroke', 'outcome', 'death']",,,,
539,536,the primary safety outcome was major bleeding as defined by the Thrombolysis in Myocardial Infarction ( TIMI ) criteria .,主要安全性结果是心肌梗死溶栓 (TIMI) 标准定义的大出血。,0.5,"['bleeding', 'safety', 'myocardial infarction', 'defined', 'outcome', 'thrombolysis', 'major', 'primary', 'as', 'by']","['bleeding', 'safety', 'myocardial infarction', 'outcome', 'thrombolysis']",536,"['主要的安全结果是主要的出血,根据心脏病发作(TIMI)中的血管炎(Trompolysis in Myocardial Infarction)定义。']",0.4,"['bleeding', 'safety', 'myocardial infarction', 'defined', 'outcome', 'thrombolysis', 'major', 'primary', 'as', 'by']","['bleeding', 'safety', 'outcome', 'primary']",536,主要安全结果是根据 Thrombolysis in Myocardial Infarction (TIMI)标准定义的严重出血。,0.3,"['bleeding', 'safety', 'myocardial infarction', 'defined', 'outcome', 'thrombolysis', 'major', 'primary', 'as', 'by']","['bleeding', 'safety', 'outcome']",,,,
540,537,permanent treatment discontinuation was more frequent with ticagrelor than placebo ( 34.5 % vs. 25.4 % ) .,与安慰剂组相比，替格瑞洛组永久性停药的发生率更高（34.5% 对 25.4%）。,0.2,"['placebo', 'permanent', 'treatment', 'with', 'frequent']",['placebo'],537,['永久性治疗中断比 placebo 更常见(34.5% 与 25.4% )。'],0.2,"['placebo', 'permanent', 'treatment', 'with', 'frequent']",['treatment'],537,"Permanent treatment discontinuation was more frequent with ticagrelor than placebo ( 34.5 % vs. 25.4 % ) .

Chinese:

停药率在使用贴膜血小板抑制剂替加美洛尼而非安慰剂组更高（分别为34.5%和25.4%）。",0.2,"['placebo', 'permanent', 'treatment', 'with', 'frequent']",['placebo'],,,,
541,538,"there was no significant difference in the incidence of fatal bleeding ( 0.2 % vs. 0.1 % ; hazard ratio , 1.90 ; 95 % CI , 0.87 to 4.15 ; P = 0.11 ) .",致命性出血的发生率没有显着差异（0.2% 对 0.1%；风险比，1.90；95% CI，0.87 至 4.15；P = 0.11）。,0.3333333333333333,"['bleeding', 'incidence', 'hazard ratio', 'fatal', 'no', 'P', 'significant difference', 'CI', 'to']","['bleeding', 'incidence', 'hazard ratio']",538,"['致命出血的发病率没有显著的差异( 0.2% 与 0.1% ; 危险比例, 1.90 ; 95 % CI, 0.87 至 4.15 ; P = 0.11 )。']",0.2222222222222222,"['bleeding', 'incidence', 'hazard ratio', 'fatal', 'no', 'P', 'significant difference', 'CI', 'to']","['bleeding', 'incidence']",538,"There was no significant difference in the incidence of fatal bleeding between the two groups (0.2% vs. 0.1%; hazard ratio, 1.90; 95% CI, 0.87 to 4.15; P=0.11).",0.0,"['bleeding', 'incidence', 'hazard ratio', 'fatal', 'no', 'P', 'significant difference', 'CI', 'to']",[],,,,
542,539,"the incidence of an exploratory composite outcome of irreversible harm ( death from any cause , myocardial infarction , stroke , fatal bleeding , or intracranial hemorrhage ) was similar in the ticagrelor group and the placebo group ( 10.1 % vs. 10.8 % ; hazard ratio , 0.93 ; 95 % CI , 0.86 to 1.02 ) .",不可逆伤害（全因死亡、心肌梗死、卒中、致命性出血或颅内出血）的探索性复合结局的发生率在替格瑞洛组和安慰剂组中相似（10.1 % 对 10.8 % ；风险比 0.93 ） ；95% CI，0.86 至 1.02）。,0.5555555555555556,"['bleeding', 'group', 'myocardial infarction', 'composite', 'placebo', 'incidence', 'stroke', 'hazard ratio', 'outcome', 'death', 'intracranial hemorrhage', 'exploratory', 'fatal', 'cause', 'CI', 'and', 'similar', 'irreversible']","['bleeding', 'group', 'myocardial infarction', 'placebo', 'incidence', 'stroke', 'hazard ratio', 'death', 'intracranial hemorrhage', 'irreversible']",539,"['探测组合的不可逆转损害(任何原因的死亡、心脏病发作、中风、致命出血或内分泌出血)的发病率在Ticagrelor群体和Placebo群体中是相似的(10.1% vs.10.8%;风险比例,0.93;95% CI,0.86 至 1.02)。']",0.5555555555555556,"['bleeding', 'group', 'myocardial infarction', 'composite', 'placebo', 'incidence', 'stroke', 'hazard ratio', 'outcome', 'death', 'intracranial hemorrhage', 'exploratory', 'fatal', 'cause', 'CI', 'and', 'similar', 'irreversible']","['bleeding', 'group', 'incidence', 'stroke', 'hazard ratio', 'death', 'exploratory', 'cause', 'similar', 'irreversible']",539,死亡、心肌梗塞、中风、致命性出血或脑出血等不可逆性伤害的发病率在西泮尔组和安慰剂组相似（10.1% vs. 10.8%；危险比，0.93；95%置信区间，0.86至1.02）。,0.4444444444444444,"['bleeding', 'group', 'myocardial infarction', 'composite', 'placebo', 'incidence', 'stroke', 'hazard ratio', 'outcome', 'death', 'intracranial hemorrhage', 'exploratory', 'fatal', 'cause', 'CI', 'and', 'similar', 'irreversible']","['bleeding', 'group', 'myocardial infarction', 'placebo', 'incidence', 'stroke', 'death', 'irreversible']",,,,
543,540,"in patients with stable coronary artery disease and diabetes without a history of myocardial infarction or stroke , those who received ticagrelor plus aspirin had a lower incidence of ischemic cardiovascular events but a higher incidence of major bleeding than those who received placebo plus aspirin . ( Funded by AstraZeneca ; THEMIS ClinicalTrials.gov number , NCT01991795 . )",在没有心肌梗死或中风病史的稳定型冠状动脉疾病和糖尿病患者中，接受替格瑞洛联合阿司匹林治疗的患者与接受安慰剂联合阿司匹林治疗的患者相比，缺血性心血管事件发生率较低，但大出血发生率较高。 （由阿斯利康资助；THEMIS ClinicalTrials.gov 编号，NCT01991795。）,0.6190476190476191,"['bleeding', 'myocardial infarction', 'diabetes', 'aspirin', 'placebo', 'incidence', 'disease', 'cardiovascular', 'stroke', 'who', 'plus', 'history', 'lower', 'major', 'number', 'coronary artery', 'by', 'but', 'and', 'without', 'ischemic']","['bleeding', 'myocardial infarction', 'diabetes', 'aspirin', 'placebo', 'incidence', 'disease', 'cardiovascular', 'stroke', 'number', 'coronary artery', 'by', 'but']",540,"['在患有稳定的冠状动脉疾病和没有心脏病发作或中风史的糖尿病患者中,接受Ticagrelor加上阿司匹林的人比接受 placebo加上阿司匹林的人更少发病,但发病率较高(由AstraZeneca资助;TEMIS ClinicalTrials.gov号,NCT01991795 )。']",0.4761904761904761,"['bleeding', 'myocardial infarction', 'diabetes', 'aspirin', 'placebo', 'incidence', 'disease', 'cardiovascular', 'stroke', 'who', 'plus', 'history', 'lower', 'major', 'number', 'coronary artery', 'by', 'but', 'and', 'without', 'ischemic']","['diabetes', 'aspirin', 'incidence', 'disease', 'stroke', 'plus', 'number', 'coronary artery', 'by', 'but']",540,在稳定性冠状动脉疾病和糖尿病患者中，那些接受了赛加普利加阿司匹林的患者的缺血性心血管事件发生率较低，但主要出血率较高，而那些接受安慰剂加阿司匹林的患者则相反。（由阿斯利康赞助；THEMIS临床试验编号，NCT01991795。）,0.6666666666666666,"['bleeding', 'myocardial infarction', 'diabetes', 'aspirin', 'placebo', 'incidence', 'disease', 'cardiovascular', 'stroke', 'who', 'plus', 'history', 'lower', 'major', 'number', 'coronary artery', 'by', 'but', 'and', 'without', 'ischemic']","['bleeding', 'diabetes', 'aspirin', 'placebo', 'incidence', 'disease', 'cardiovascular', 'stroke', 'plus', 'number', 'coronary artery', 'by', 'but', 'and']",,,,
544,541,"therefore , aspirin alone , the standard therapy in this population , may not provide fully effective antithrombotic protection .",因此，单独使用阿司匹林作为这一人群的标准疗法，可能无法提供完全有效的抗血栓形成保护。,0.7777777777777778,"['aspirin', 'population', 'standard', 'protection', 'antithrombotic', 'therapy', 'therefore', 'this', 'alone']","['aspirin', 'population', 'standard', 'protection', 'antithrombotic', 'therapy', 'alone']",541,"['因此,只有阿司匹林,这个人口的标准治疗,可能无法提供完全有效的抗血管保护。']",0.5555555555555556,"['aspirin', 'population', 'standard', 'protection', 'antithrombotic', 'therapy', 'therefore', 'this', 'alone']","['aspirin', 'population', 'standard', 'protection', 'therapy']",541,因此，仅使用阿司匹林（aspirin），这种在这种人群中的标准治疗方法，可能无法提供充分有效的抗血小板保护。,0.5555555555555556,"['aspirin', 'population', 'standard', 'protection', 'antithrombotic', 'therapy', 'therefore', 'this', 'alone']","['aspirin', 'population', 'standard', 'protection', 'therapy']",,,,
545,542,"ticagrelor , a reversible antagonist of the platelet P2Y12 receptor , has been shown to provide more consistent platelet inhibition than aspirin or clopidogrel.6",替格瑞洛是一种可逆的血小板 P2Y12 受体拮抗剂，已被证明可提供比阿司匹林或氯吡格雷更一致的血小板抑制作用。 6,1.0,"['antagonist', 'receptor', 'aspirin', 'inhibition', 'reversible', 'platelet']","['antagonist', 'receptor', 'aspirin', 'inhibition', 'reversible', 'platelet']",542,"['ticagrelor 是 P2Y12 受体的可逆转反对剂,已被证明提供比 aspirin 或 clopidogrel 更一致的平板抑制。']",0.3333333333333333,"['antagonist', 'receptor', 'aspirin', 'inhibition', 'reversible', 'platelet']","['receptor', 'inhibition']",542,"ticagrelor, 可逆轉的P2Y12配體反應體拮抗劑, 已被證實能比 aspirin 或 clopidogrel 更有效地抑制血小板活性。6",0.3333333333333333,"['antagonist', 'receptor', 'aspirin', 'inhibition', 'reversible', 'platelet']","['inhibition', 'platelet']",,,,
546,543,the relative benefit of ticagrelor in these patients has been consistent regardless of the presence of diabetes .,无论是否存在糖尿病，替格瑞洛对这些患者的相对益处都是一致的。,0.4,"['presence', 'diabetes', 'relative', 'benefit', 'in']","['presence', 'diabetes']",543,"['在这些患者中,Ticagrelor的相对好处无论糖尿病的存在如何,都保持一致。']",0.4,"['presence', 'diabetes', 'relative', 'benefit', 'in']","['presence', 'diabetes']",543,在这些患者中，替卡格雷素相对于传统治疗方法的益处一直是一致的，无论他们是否患有糖尿病。,0.2,"['presence', 'diabetes', 'relative', 'benefit', 'in']",['diabetes'],,,,
547,544,"however , since patients with diabetes are at high baseline risk , they have had a large absolute benefit from the addition of ticagrelor to aspirin.9,10","然而，由于糖尿病患者的基线风险很高，他们从阿司匹林中加入替格瑞洛获得了很大的绝对益处。 9,10",0.6666666666666666,"['diabetes', 'baseline', 'addition', 'absolute', 'large', 'risk', 'benefit', 'with', 'at', 'have', 'to', 'high']","['diabetes', 'baseline', 'addition', 'absolute', 'risk', 'at', 'to', 'high']",544,"['然而,由于糖尿病患者患有高基因风险,他们从添加Ticagrelor到阿司匹林中获得了巨大的绝对好处。']",0.6666666666666666,"['diabetes', 'baseline', 'addition', 'absolute', 'large', 'risk', 'benefit', 'with', 'at', 'have', 'to', 'high']","['diabetes', 'addition', 'absolute', 'risk', 'at', 'have', 'to', 'high']",544,"然而，由于糖尿病患者的基线风险较高，他们从加入剂量阿司匹林9,10中获益良多。",0.5833333333333334,"['diabetes', 'baseline', 'addition', 'absolute', 'large', 'risk', 'benefit', 'with', 'at', 'have', 'to', 'high']","['diabetes', 'baseline', 'addition', 'risk', 'at', 'to', 'high']",,,,
548,545,whether patients with stable coronary artery disease and diabetes who do not have a history of myocardial infarction or stroke also derive benefit from dual antiplatelet therapy with ticagrelor plus aspirin is unclear .,没有心肌梗死或卒中病史的稳定型冠状动脉疾病和糖尿病患者是否也能从替格瑞洛联合阿司匹林的双重抗血小板治疗中获益尚不清楚。,0.5,"['myocardial infarction', 'diabetes', 'aspirin', 'disease', 'stroke', 'who', 'plus', 'antiplatelet', 'history', 'therapy', 'benefit', 'dual', 'with', 'coronary artery', 'have', 'and']","['myocardial infarction', 'diabetes', 'aspirin', 'disease', 'stroke', 'therapy', 'coronary artery', 'have']",545,"['是否患有稳定的冠状动脉疾病和糖尿病的患者,谁没有心脏病发作或中风的历史也受益从双重抗板治疗与Ticagrelor加上阿司匹林不清楚。']",0.5625,"['myocardial infarction', 'diabetes', 'aspirin', 'disease', 'stroke', 'who', 'plus', 'antiplatelet', 'history', 'therapy', 'benefit', 'dual', 'with', 'coronary artery', 'have', 'and']","['diabetes', 'aspirin', 'disease', 'stroke', 'plus', 'history', 'therapy', 'coronary artery', 'have']",545,目前尚不清楚稳定的冠心病患者和糖尿病患者如果没有心肌梗死或中风的病史，是否也可以从使用西泮加阿司匹林的双重抗血小板疗法中受益。,0.5,"['myocardial infarction', 'diabetes', 'aspirin', 'disease', 'stroke', 'who', 'plus', 'antiplatelet', 'history', 'therapy', 'benefit', 'dual', 'with', 'coronary artery', 'have', 'and']","['myocardial infarction', 'diabetes', 'aspirin', 'disease', 'stroke', 'plus', 'therapy', 'have']",,,,
549,546,"the Effect of Ticagrelor on Health Outcomes in Diabetes Mellitus Patients Intervention Study ( THEMIS ) was designed to test the efficacy and safety of ticagrelor , as compared with placebo , in addition to aspirin in this population .",在糖尿病患者干预研究 (THEMIS) 中，替格瑞洛对健康结果的影响旨在测试替格瑞洛与安慰剂以及阿司匹林在该人群中的疗效和安全性。,0.375,"['safety', 'aspirin', 'population', 'placebo', 'test', 'health', 'addition', 'study', 'diabetes mellitus', 'intervention', 'effect', 'efficacy', 'with', 'this', 'to', 'and']","['safety', 'aspirin', 'population', 'placebo', 'health', 'diabetes mellitus']",546,"['甲状腺糖尿病患者干预研究(THEMIS)对健康结果的影响,旨在测试甲状腺糖尿病的有效性和安全性,与 placebo 相比,除了阿司匹林在这个人口。']",0.375,"['safety', 'aspirin', 'population', 'placebo', 'test', 'health', 'addition', 'study', 'diabetes mellitus', 'intervention', 'effect', 'efficacy', 'with', 'this', 'to', 'and']","['safety', 'aspirin', 'population', 'health', 'diabetes mellitus', 'efficacy']",546,糖尿病干预研究（THEMIS）旨在检验西卡格利尔与阿司匹林附加治疗在此人群中的有效性和安全性。,0.4375,"['safety', 'aspirin', 'population', 'placebo', 'test', 'health', 'addition', 'study', 'diabetes mellitus', 'intervention', 'effect', 'efficacy', 'with', 'this', 'to', 'and']","['safety', 'aspirin', 'population', 'test', 'addition', 'diabetes mellitus', 'efficacy']",,,,
550,547,"AstraZeneca funded the trial , which was designed and overseen by an academic executive committee .",阿斯利康资助了该试验，该试验由学术执行委员会设计和监督。,0.5,"['committee', 'trial', 'by', 'and']","['committee', 'by']",547,"['AstraZeneca资助了审判,该审判由学术执行委员会设计和监督。']",0.75,"['committee', 'trial', 'by', 'and']","['committee', 'trial', 'by']",547,AstraZeneca 资助了这项试验，该试验由学术委员会设计和监督。,0.5,"['committee', 'trial', 'by', 'and']","['committee', 'by']",,,,
551,548,all the trial centers obtained ethical approval according to local regulations .,所有试验中心均按当地法规获得伦理批准。,0.1666666666666666,"['approval', 'ethical', 'local', 'trial', 'all', 'to']",['approval'],548,['所有审判中心根据当地法规获得道德批准。'],0.3333333333333333,"['approval', 'ethical', 'local', 'trial', 'all', 'to']","['approval', 'trial']",548,所有的试验中心都根据当地法规获得了道德批准。,0.1666666666666666,"['approval', 'ethical', 'local', 'trial', 'all', 'to']",['approval'],,,,
552,549,"site selection was conducted jointly by the national lead investigators and representatives of AstraZeneca , who performed site monitoring and supervision and handled the collection , storage , and analysis of the data .",选址由国家首席调查员和阿斯利康代表共同进行，他们负责现场监测和监督，并处理数据的收集、存储和分析。,0.6363636363636364,"['monitoring', 'lead', 'site', 'data', 'who', 'analysis', 'collection', 'supervision', 'storage', 'by', 'and']","['monitoring', 'site', 'data', 'analysis', 'collection', 'storage', 'by']",549,"['网站选择由国家领先的调查人员和AstraZeneca的代表共同进行,他们进行了网站监测和监督,处理数据的收集、存储和分析。']",0.5454545454545454,"['monitoring', 'lead', 'site', 'data', 'who', 'analysis', 'collection', 'supervision', 'storage', 'by', 'and']","['monitoring', 'data', 'analysis', 'collection', 'storage', 'by']",549,网站选择由全国主要调查人员和阿斯利康公司代表共同进行，阿斯利康负责网站监测和监督，并负责数据的收集、存储和分析。,0.5454545454545454,"['monitoring', 'lead', 'site', 'data', 'who', 'analysis', 'collection', 'supervision', 'storage', 'by', 'and']","['monitoring', 'data', 'analysis', 'collection', 'storage', 'by']",,,,
